Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
68,"SF Vyboishchikov, W Thiel","Ring‐Closing Olefin Metathesis on Ruthenium Carbene Complexes: Model DFT Study of Stereochemistry",2005,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200400994","https://scholar.google.com/scholar?cites=12416481260128937536&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 22:52:49","","10.1002/chem.200400994","","",,,,,68,3.40,34,2,20,"… Though discovered in the 1950s, olefin metathesis acquired importance as an efficient method for the formation of carbon–carbon double bonds only much later.1–4 At present, it is …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.200400994","https://scholar.google.com/scholar?q=related:QKZHtuszUKwJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"BW Grau, A Neuhauser, S Aghazada…","Iron‐Catalyzed Olefin Metathesis: Recent Theoretical and Experimental Advances",2022,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202201414","https://scholar.google.com/scholar?cites=3549984137465885335&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 22:52:49","","10.1002/chem.202201414","","",,,,,18,6.00,5,4,3,"… olefin metathesis in the 1960s, many modifications have been reported; thus, increasing scope and improving reaction selectivity. Olefin metathesis … to realize olefin metathesis with a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202201414","https://scholar.google.com/scholar?q=related:l_Lsr8MTRDEJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"J Pollini, WM Pankau, LJ Gooßen","Isomerizing Olefin Metathesis",2019,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201805940","https://scholar.google.com/scholar?cites=13034587943509853019&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 22:52:49","","10.1002/chem.201805940","","",,,,,23,3.83,8,3,6,"… To better understand the unique properties of IC3 as a co-catalyst for isomerizing metatheses, the catalytic cycle was investigated by DFT calculations.23 These suggest that the active …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201805940","https://scholar.google.com/scholar?q=related:W4N-pqwo5LQJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"JP Martínez, SVC Vummaleti, L Falivene…","In Silico Olefin Metathesis with Ru‐Based Catalysts Containing N‐Heterocyclic Carbenes Bearing C60 Fullerenes",2016,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201600383","https://scholar.google.com/scholar?cites=12686512797815828255&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 22:52:49","","10.1002/chem.201600383","","",,,,,17,1.89,4,4,9,"… ” catalyst for all olefin metathesis applications; however, there … ligand that could facilitate olefin metathesis processes. The … In the present study, we use DFT calculations to explore the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201600383","https://scholar.google.com/scholar?q=related:H29CcCyMD7AJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
233,"SF Vyboishchikov, M Bühl…","Mechanism of olefin metathesis with catalysis by ruthenium carbene complexes: density functional studies on model systems",2002,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/1521-3765(20020902)8:17%3C3962::AID-CHEM3962%3E3.0.CO;2-X","https://scholar.google.com/scholar?cites=6006190855273189428&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 22:52:49","","10.1002/1521-3765(20020902)8:17%3C3962::AID-CHEM3962%3E3.0.CO;2-X","","",,,,,233,10.13,78,3,23,"… According to our current DFT results for isolated model catalysts [(PR 3 )(L)Cl 2 RuCH 2 ], this assumption holds only for the cis attack of ethene, but not for the preferred trans attack (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/1521-3765(20020902)8:17%3C3962::AID-CHEM3962%3E3.0.CO;2-X","https://scholar.google.com/scholar?q=related:NBDCvcJGWlMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
83,"A Poater, F Ragone, A Correa…","Mechanistic Insights into the cis–trans Isomerization of Ruthenium Complexes Relevant to Catalysis of Olefin Metathesis",2010,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201001849","https://scholar.google.com/scholar?cites=964695691761953318&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 22:52:49","","10.1002/chem.201001849","","",,,,,83,5.53,21,4,15,"… to investigate this aspect of olefin metathesis in detail, with the assistance of static and dynamic DFT calculations. We first compared static DFT calculations for the dissociative and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201001849","https://scholar.google.com/scholar?q=related:JirS155JYw0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Pablo Martínez, M Solà…","Predictive Catalysis in Olefin Metathesis with Ru‐based Catalysts with Annulated C60 Fullerenes in the N‐heterocyclic Carbenes",2021,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202100840","https://scholar.google.com/scholar?cites=3249876691089845445&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 22:52:49","","10.1002/chem.202100840","","",,,,,3,0.75,1,3,4,"… However, the observed similarities do not provide enough evidence to correlate the catalytic activity in olefin metathesis. Therefore, we performed an additional conceptual DFT analysis …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202100840","https://scholar.google.com/scholar?q=related:xWw7yKHhGS0J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"X Solans‐Monfort, R Pleixats…","DFT Mechanistic Study on Diene Metathesis Catalyzed by Ru‐Based Grubbs–Hoveyda‐Type Carbenes: The Key Role of π‐Electron Density Delocalization in the …",2010,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200903525","https://scholar.google.com/scholar?cites=12591036078128235688&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 22:52:49","","10.1002/chem.200903525","","",,,,,89,5.93,30,3,15,"… Olefin metathesis is a very versatile reaction for the formation of carbon–carbon double bonds even in the presence of other functional groups.1–8 This makes the process a very …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.200903525","https://scholar.google.com/scholar?q=related:qAT2VppYvK4J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"F Núñez‐Zarur, X Solans‐Monfort…","DFT Study on the Recovery of Hoveyda–Grubbs‐Type Catalyst Precursors in Enyne and Diene Ring‐Closing Metathesis",2013,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201301898","https://scholar.google.com/scholar?cites=14054896652735636380&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 22:52:49","","10.1002/chem.201301898","","",,,,,36,3.00,12,3,12,"… Since its accidental discovery about six decades ago, the olefin metathesis reaction has become one of the most important and effective procedures for the formation of carboncarbon …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201301898","https://scholar.google.com/scholar?q=related:nGMiJQoGDcMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"ST Emmerling, F Ziegler, FR Fischer…","Olefin metathesis in confinement: Towards covalent organic framework scaffolds for increased macrocyclization selectivity",2022,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202104108","https://scholar.google.com/scholar?cites=13189769677753714281&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 22:52:49","","10.1002/chem.202104108","","",,,,,25,8.33,6,4,3,"… COF pore‐wall modification by immobilization of a Grubbs‐Hoveyda‐type catalyst via a mild silylation reaction provides a molecularly precise heterogeneous olefin metathesis catalyst. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202104108","https://scholar.google.com/scholar?q=related:aYa6t6N5C7cJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
