Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
47,"I Guerrero, Z Kelemen, C Viñas…","Metallacarboranes as photoredox catalysts in water",2020,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201905395","https://scholar.google.com/scholar?cites=4300086865924135893&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 23:19:53","","10.1002/chem.201905395","","",,,,,47,9.40,12,4,5,"… The LMCT mode suggested by the DFT calculations and the electrochemistry of Na[1… photoredox-catalyzed oxidation of alcohols by Na[1]. Incident photons are absorbed by photoredox …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201905395","https://scholar.google.com/scholar?q=related:1Ru7wjj6rDsJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"Y Zeng, X Zheng, L Shen, Y Jing…","Oxydiazomethylation of Alkenes via Photoredox Catalysis",2025,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202403509","https://scholar.google.com/scholar?cites=13984135071108480465&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 23:19:53","","10.1002/chem.202403509","","",,,,,3,3.00,1,5,1,"… Herein, we reported a general and modular approach for the direct 1,2‐oxydiazomethylation of alkenes through visible‐light photoredox catalysis. This process exploits photocatalyzed …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202403509","https://scholar.google.com/scholar?q=related:0b2AjMGgEcIJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
36,"N Kumar, N Eghbarieh, T Stein…","Photoredox‐Mediated Reaction of gem‐Diborylalkenes: Reactivity Toward Diverse 1,1‐Bisborylalkanes",2020,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202000603","https://scholar.google.com/scholar?cites=17750079179747262833&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 23:19:53","","10.1002/chem.202000603","","",,,,,36,7.20,9,4,5,"… This method exploits a novel photoredox decarboxylative radical addition to gem-… Furthermore, EPR spectroscopy and DFT calculations have provided insight into the radical …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202000603","https://scholar.google.com/scholar?q=related:cYHkU_jyVPYJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"J Milić, M Zalibera, D Talaat…","Photoredox‐Switchable Resorcin [4] arene Cavitands: Radical Control of Molecular Gripping Machinery via Hydrogen Bonding",2018,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201704788","https://scholar.google.com/scholar?cites=14429685441181865663&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 23:19:53","","10.1002/chem.201704788","","",,,,,16,2.29,4,4,7,"… DFT calculations of the conformational preferences for the Qx walls at the B3LYP/6-31G(d) level … Pyz-derived systems as more promising candidates for photoredox-switchable grippers. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201704788","https://scholar.google.com/scholar?q=related:v1ZF_nSKQMgJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
12,"S Ghosh, ZW Qu, S Roy, S Grimme…","Photoredox Catalyzed Single C−F Bond Activation of Trifluoromethyl Ketones: A Solvent Controlled Divergent Access of gem‐Difluoromethylene Containing Scaffolds",2023,"… –A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202203428","https://scholar.google.com/scholar?cites=4565984162925744215&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 23:19:53","","10.1002/chem.202203428","","",,,,,12,6.00,2,5,2,"… Our DFT calculations show that the photo-generated radical cation A may abstract an H-atom from a C−H bond of TFE molecule, which is −2.4 kcal/mol exergonic over a moderate …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202203428","https://scholar.google.com/scholar?q=related:V5A_kWeiXT8J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
153,"M Majek, U Faltermeier, B Dick…","Application of visible‐to‐UV photon upconversion to photoredox catalysis: the activation of aryl bromides",2015,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201502698","https://scholar.google.com/scholar?cites=18357259311130614618&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 23:19:53","","10.1002/chem.201502698","","",,,,,153,15.30,38,4,10,"… time-dependent (TD) -DFT, employing the unrestricted UB3LYP method … DFT calculations, in which CT states have to be considered.23 Redox potentials of PPO were obtained from DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201502698","https://scholar.google.com/scholar?q=related:WhusIRUWwv4J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
6,"F Weick, N Hagmeyer, M Giraud…","Reductive Activation of Aryl Chlorides by Tuning the Radical Cation Properties of N‐Phenylphenothiazines as Organophotoredox Catalysts",2023,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202302347","https://scholar.google.com/scholar?cites=1283513205234798913&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-06 23:19:53","","10.1002/chem.202302347","","",,,,,6,3.00,2,4,2,"… Aryl chlorides as substrates for arylations present a particular challenge for photoredox … 24b, 39b, 39c This structural change is supported by DFT calculations (Figure S29) and will …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202302347","https://scholar.google.com/scholar?q=related:QRGLtnX0zxEJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
21,"AJ Stasyuk, OA Stasyuk, S Filippone…","Stereocontrolled Photoinduced Electron Transfer in Metal‐Fullerene Hybrids",2018,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201802381","https://scholar.google.com/scholar?cites=13160606200938707011&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 23:19:53","","10.1002/chem.201802381","","",,,,,21,3.00,5,4,7,"… Herein, we report an exhaustive DFT computational study of Ir pyrrolidino[3,4:1,2][60]fullerene half-sandwich complexes with four stereocenters: an Ir-metal center, the asymmetric …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201802381","https://scholar.google.com/scholar?q=related:QzjBo5zdo7YJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"Y Liu, Y Yang, R Zhu, C Liu…","The Dual Role of Gold (I) Complexes in Photosensitizer‐Free Visible‐Light‐Mediated Gold‐Catalyzed 1, 2‐Difunctionalization of Alkynes: A DFT Study",2018,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201803075","https://scholar.google.com/scholar?cites=1311381007114239837&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 23:19:53","","10.1002/chem.201803075","","",,,,,38,5.43,8,5,7,"… photoredox and gold catalysis provides an alternative approach to overcome these barriers. A number of impressive dual photoredox/… photoredox/gold catalysis involves a photoredox-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201803075","https://scholar.google.com/scholar?q=related:Xf889hP2MhIJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"C Empel, S Jana, ŁW Ciszewski…","C− H Functionalization of Heterocycles with Triplet Carbenes by means of an Unexpected 1, 2‐Alkyl Radical Migration",2023,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202300214","https://scholar.google.com/scholar?cites=7158088067068558834&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 23:19:53","","10.1002/chem.202300214","","",,,,,10,5.00,3,4,2,"… To further deconvolute energy and electron transfer, we examined this key step by DFT … Finally, reduction of radical cation intermediate INT8 by the photoredox catalyst leads either …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.202300214","https://scholar.google.com/scholar?q=related:8n2V_CujVmMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
