Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,"I Fernández, MJ Mancheño, R Vicente…","Transmetalation reactions from Fischer carbene complexes to late transition metals: A DFT study",2008,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.200801378","https://scholar.google.com/scholar?cites=7347485092625686535&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-06 23:37:01","","10.1002/chem.200801378","","",,,,,49,2.88,12,4,17,"… The above examples are a few of the many transmetalation … Although the transmetalation reaction has been employed in … theoretical study on the transmetalation reaction from chromium…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.200801378","https://scholar.google.com/scholar?q=related:B6BuWsOC92UJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
65,"MM Hansmann, M Pernpointner…","A Theoretical DFT‐Based and Experimental Study of the Transmetalation Step in Au/Pd‐Mediated Cross‐Coupling Reactions",2013,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201301840","https://scholar.google.com/scholar?cites=1738169319898405148&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-06 23:37:01","","10.1002/chem.201301840","","",,,,,65,5.42,22,3,12,"… –palladium transmetalation step … transmetalation step and prompted us to publish our results on this dual-catalytic system. The crucial effect of the counteranion in the transmetalation …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201301840","https://scholar.google.com/scholar?q=related:HNkGiMk3HxgJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
85,"B Fuentes, M García‐Melchor, A Lledós…","Palladium Round Trip in the Negishi Coupling of trans‐[PdMeCl(PMePh2)2] with ZnMeCl: An Experimental and DFT Study of the Transmetalation Step",2010,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201001332","https://scholar.google.com/scholar?cites=17021987782542827711&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-06 23:37:01","","10.1002/chem.201001332","","",,,,,85,5.67,21,4,15,"… Our theoretical DFT study was undertaken by using the real molecules and realistic tetrahedral Zn species coordinated with THF;12 moreover, the calculations were fitted to the same …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201001332","https://scholar.google.com/scholar?q=related:vyCBrbM_OuwJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
30,"T Mondal, S De, S Dutta, D Koley","… Exploration of the Transmetalation and Reductive Elimination Events Involving PdIV–Abnormal NHC Complexes in Suzuki–Miyaura Coupling Reactions: A DFT …",2018,"Chemistry–A European …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201800024","https://scholar.google.com/scholar?cites=13445737901046803722&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-06 23:37:01","","10.1002/chem.201800024","","",,,,,30,4.29,8,4,7,"… Recently, we performed DFT calculations to investigate the mechanism of the oxidative … the transmetalation and reductive eliminations events as well. Importantly, the transmetalation …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201800024","https://scholar.google.com/scholar?q=related:Cq3m5mHbmLoJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
26,"M Baya, Ú Belío, D Campillo…","Pt–M complexes (M= Ag, Au) as models for intermediates in transmetalation processes",2018,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201802542","https://scholar.google.com/scholar?cites=1469895901953701007&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-06 23:37:01","","10.1002/chem.201802542","","",,,,,26,3.71,7,4,7,"… To gain more insight into these interactions, DFT calculations … The optimized structures (1-DFT, 2-DFT, 3-DFT, and 4-DFT) … -DFT with that of the previously reported gold analogue 1-DFT.…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201802542","https://scholar.google.com/scholar?q=related:j7TA9IgeZhQJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
78,"AN Bilyachenko, MS Dronova…","Cage‐like Copper (II) Silsesquioxanes: Transmetalation Reactions and Structural, Quantum Chemical, and Catalytic Studies",2015,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201500791","https://scholar.google.com/scholar?cites=10930351086580242018&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-06 23:37:01","","10.1002/chem.201500791","","",,,,,78,7.80,26,3,10,"… The transmetalation of bimetallic copper–sodium silsesquioxane cages, namely, [(PhSiO 1.5 ) 10 (… In addition, DFT theory was used to examine the structures of the Cooling Tower and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201500791","https://scholar.google.com/scholar?q=related:Ypbr2WZosJcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"AJ Canty, AC Bissember","Suzuki–Miyaura Cross‐Couplings: Juxtaposing the Transmetalation of Arylboronic Acids and Alkylboranes",,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202501157","",7,"2025-05-06 23:37:01","","10.1002/chem.202501157","","",,,,,0,0.00,0,2,,"… intermediates involved in SM transmetalation.7a,8f,8i… transmetalation mechanisms.7a,10d11,12 Accordingly, in their examination of SM transmetalation via density functional theory (DFT…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202501157","https://scholar.google.com/scholar?q=related:mgfbLkxXlDAJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"S Martínez de Salinas, ÁL Mudarra…","New Vistas in Transmetalation with Discrete “AgCF3” Species: Implications in Pd‐Mediated Trifluoromethylation Reactions",2018,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.201802586","https://scholar.google.com/scholar?cites=5522345540534716424&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-06 23:37:01","","10.1002/chem.201802586","","",,,,,29,4.14,10,3,7,"… In line with the DFT calculations, we observed the formation of [(Bc)Ag(THF)](SbF 6 ) (6), characterized by X-ray diffraction, upon exposure of 5 to THF. With the structural information of 4 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201802586","https://scholar.google.com/scholar?q=related:CMiIrgJQo0wJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"Z Huang, Y Zheng, M Zhong","Transmetalation Reactions of Aromatic Dilithionickelole: Synthesis of Heterobimetallic Complexes Featuring Metalloles as Diene Ligands",2021,"Chemistry–A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202102037","https://scholar.google.com/scholar?cites=16378391546773732489&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-06 23:37:01","","10.1002/chem.202102037","","",,,,,1,0.25,0,3,4,"The aromatic metallole dianions are important metallaaromatic compounds because of their various reactivities and extensive synthetic applications. Herein we report the reactions of …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202102037","https://scholar.google.com/scholar?q=related:iXy12VW8S-MJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
9,"N Schwarz, X Sun, R Yadav, R Köppe…","Application of the Redox‐Transmetalation Procedure to Access Divalent Lanthanide and Alkaline‐Earth NHC Complexes",2021,"… A European Journal","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/chem.202101923","https://scholar.google.com/scholar?cites=13847292219749374623&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-06 23:37:01","","10.1002/chem.202101923","","",,,,,9,2.25,2,5,4,"… been accessed by redox‐transmetalation between air‐stable NHC… Application of the redox‐transmetalation strategy with the … DFT calculations were performed to rationalise the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.202101923","https://scholar.google.com/scholar?q=related:nxoxY-h2K8AJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
