Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
31,"T Kösterke, J Kösters, EU Würthwein…","Synthesis of Complexes Containing an Anionic NHC Ligand with an Unsubstituted Ring‐Nitrogen Atom",2012,"… –A European Journal","academia.edu","https://www.academia.edu/download/68436422/chem.20120297320210731-11150-1xivk1c.pdf","https://scholar.google.com/scholar?cites=5075703072015011747&as_sdt=2005&sciodt=0,5&hl=en",850,"2025-05-06 23:38:50","PDF","","","",,,,,31,2.38,8,4,13,"… properties of both carbene-type ligands (DFT; for details, see the … According to DFT calculations for the complete complex, the … reacts further through the reductive elimination of a proton, …","https://www.academia.edu/download/68436422/chem.20120297320210731-11150-1xivk1c.pdf","https://scholar.google.com/scholar?q=related:o0_QQA2FcEYJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"A Dachs Soler, A Pla i Quintana…","Intramolecular [2+ 2+ 2] cycloaddition reactions of Yne-ene-yne and Yne-yne-ene enediynes catalysed by Rh I: Experimental and theoretical mechanistic studies",2011,"… -A European Journal …","dugi-doc.udg.edu","https://dugi-doc.udg.edu/handle/10256/11346","",1000,"2025-05-06 23:38:50","","","","",,,,,0,0.00,0,3,14,"… 4 suffered β-hydride elimination followed by reductive elimination of the Wilkinson catalyst to … two types of enediyne have been rationalised by density functional theory calculations ​ …","","https://scholar.google.com/scholar?q=related:SRCg06q9nTUJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
35,"R Sánchez‐de‐Armas, L Xue…","One site is enough: a theoretical investigation of iron-catalyzed dehydrogenation of formic Acid.",2013,"Chemistry-A European …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=89944740&h=2lyD7ZchaMDlRH0jA7hZHYqcTyjLo6jh%2FE1MSlZZH51yZzlpwQGv%2FYur1HztYvaZgUiBC3xAPi8RE77epRcYjQ%3D%3D&crl=c","https://scholar.google.com/scholar?cites=2302192863764622209&as_sdt=2005&sciodt=0,5&hl=en",168,"2025-05-06 23:38:50","","10.1002/chem.201301970","","",,,,,35,2.92,12,3,12,"… corresponding β-hydride elimination and elimination of dihydrogen are … step, while the elimination of the dihydrogen molecule … [21] In conclusion, density functional theory calculations …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201301970","https://scholar.google.com/scholar?q=related:gSshSTYI8x8J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
55,"M Guisán‐Ceinos, R Soler‐Yanes…","Ni-catalyzed cascade cyclization-Kumada alkyl-alkyl cross-coupling.",2013,"… A European Journal","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=88230224&h=46q6QyS32lUmnTs%2BtmgndhjMKO%2F7TA9glZyA0iyud711MbVfGocfkzTiBvUrD84k6NxuOlNdq7w3Ut0tISmLMA%3D%3D&crl=c","https://scholar.google.com/scholar?cites=11413250864761823527&as_sdt=2005&sciodt=0,5&hl=en",220,"2025-05-06 23:38:50","","10.1002/chem.201300882","","",,,,,55,4.58,18,3,12,"… electrophiles and the fast β-elimination of hydrogen in the alkyl–… of the oxidative addition and precluding elimination.[3c, 4] … We have performed a DFT study on the reaction mechanism. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201300882","https://scholar.google.com/scholar?q=related:J2GMBjEDZJ4J:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
54,"L Florentino, F Aznar, C Valdés","Synthesis of (Z)-N-alkenylazoles and pyrroloisoquinolines from α-N-azoleketones through Pd-catalyzed tosylhydrazone cross-couplings.",2013,"Chemistry-a European …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=89399479&h=iTIYyuXPW0mdwWyjgurASRl5pzeEpurC8O077qR5Yej9zolmAAcIcUYdqqu%2FnOQfgmq2DqL78Q7NYcqSQ%2FTcUA%3D%3D&crl=c","https://scholar.google.com/scholar?cites=7429207684403400166&as_sdt=2005&sciodt=0,5&hl=en",257,"2025-05-06 23:38:50","","10.1002/chem.201301057","","",,,,,54,4.50,18,3,12,"… elimination provides the final olefin. The last step defines the stereochemistry of the final product. With the aid of DFT … the syn-β-hydride elimination places the R substituent on the same …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201301057","https://scholar.google.com/scholar?q=related:5o13_wbZGWcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
109,"S Oldenhof, B de Bruin, M Lutz…","Base-Free Production of H2 by Dehydrogenation of Formic Acid Using An Iridium-bisMETAMORPhos Complex.",2013,"… A European Journal","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=89769404&h=uGu6RtLK8bYWHO3mnjM6dqXtZzL%2BzwKphxaCi70Gpn9bI1o8aWvWIydDazZN%2BIhX6cwkLihyqLpG%2FrMcm8vZfw%3D%3D&crl=c","https://scholar.google.com/scholar?cites=12459387039232982989&as_sdt=2005&sciodt=0,5&hl=en",265,"2025-05-06 23:38:50","","10.1002/chem.201302230","","",,,,,109,9.08,27,4,12,"… [2e,h] Based on these data and results from DFT calculations, we propose the following … After protonation of the ligand, H2 is eliminated by coupling of the metal hydride with the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/chem.201302230","https://scholar.google.com/scholar?q=related:zX-W4H-i6KwJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
37,"DH Zhang, XY Tang, Y Wei…","Rhodium (I)-Catalyzed Cycloisomerization of Nitrogen-Tethered Indoles and Alkylidenecyclopropanes: Convenient Access to Polycyclic Indole Derivatives.",2013,"Chemistry-A European …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=90528049&h=bDY%2BBVe4GgQ7%2FpjZAQZolNcyMlXsDpR7Oz4eWEJXpJcd1xkSev3YwK6jcc519rtL%2BQyxFNZk4xVf5KBCXnc1jw%3D%3D&crl=c","https://scholar.google.com/scholar?cites=2467183074736232311&as_sdt=2005&sciodt=0,5&hl=en",357,"2025-05-06 23:38:50","","10.1002/chem.201302331","","",,,,,37,3.08,9,4,12,"… The intermediate C undergoes β-H elimination to give … E through reductive elimination along with regeneration of the … , and is also supported by DFT calculations. Further applications …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201302331","https://scholar.google.com/scholar?q=related:d1eCTe8xPSIJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
48,"S Musa, OA Filippov, NV Belkova…","Ligand-Metal Cooperating PC(sp3)P Pincer Complexes as Catalysts in Olefin Hydroformylation.",2013,"… A European Journal","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=92708889&h=32%2BfzajEd7lm1dCH8CrE66cZMKa%2FTI%2FFvb9APcaU%2BHcq7yqKSFXP%2FX2%2FCxZgV9BEz%2FCdrulLFkqNXbjcTnzb1w%3D%3D&crl=c","https://scholar.google.com/scholar?cites=262662879132797332&as_sdt=2005&sciodt=0,5&hl=en",422,"2025-05-06 23:38:50","","10.1002/chem.201303311","","",,,,,48,4.00,12,4,12,"… to the conventional oxidative addition/reductive elimination sequence). The key mechanistic … 3 (Figure 1), as well as DFT optimization of some proposed intermediates were carried out. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201303311","https://scholar.google.com/scholar?q=related:lElkNn8qpQMJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"A Kawachi, H Morisaki, T Hirofuji…","Synthesis of Silicon-Functionalized Dibenzosilaborins by Intramolecular B H/C H Dehydrogenative Cyclization and Their Tunable Photophysical and Chemical …",2013,"… -A European Journal","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=90470295&h=%2BPrsgWJ9f8hL9TnKfIshr6OqJfe4SKNWgdcOS3wJhuOh%2Bv2JcfdEzLnJnmmI8BRfcHMkenXNNQ4Wze6ccBhMHA%3D%3D&crl=c","https://scholar.google.com/scholar?cites=13203107666422425804&as_sdt=2005&sciodt=0,5&hl=en",434,"2025-05-06 23:38:50","","10.1002/chem.201301330","","",,,,,8,0.67,2,4,12,"… formation of boracycles 3 and the elimination of H2 in a concerted … subsequently produces 3 by the βelimination of H2. The latter … [23] We performed DFT calculation of 7 (cis form) and its …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/chem.201301330","https://scholar.google.com/scholar?q=related:zGhYNHjcOrcJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"C Cristóbal, J López‐Serrano…","Experimental Evidences in Favour of the Hydroxylamine→Nitrene-Water Tautomerization on the Coordination Sphere of IrIII Centres.",2013,"… A European Journal","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09476539&AN=89150881&h=YFHIluOyllhJZTaBN%2F%2BDi7ivbiFe6fHIx1tZMYXhzfsBSVBlUSy2wPr1jE%2FN8tpJZH%2FIU34lx%2B3edo0ZWFAoYQ%3D%3D&crl=c","https://scholar.google.com/scholar?cites=5261580266616181899&as_sdt=2005&sciodt=0,5&hl=en",459,"2025-05-06 23:38:50","","10.1002/chem.201300624","","",,,,,7,0.58,2,3,12,"… The IrV nitrene species[18] that follows experiences alkyl migration to the nitrogen and β-H elimination to give the observed imine products (DFT calculations show that these two last …","https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/chem.201300624","https://scholar.google.com/scholar?q=related:i9TcHGDjBEkJ:scholar.google.com/&scioq=source:%22chemistry+a+european+journal%22+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
