Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
65,"T Ali, C Yan","2 D materials for inhibiting the shuttle effect in advanced lithium–sulfur batteries",2020,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201901981","https://scholar.google.com/scholar?cites=15569843980582830973&as_sdt=2005&sciodt=0,5&hl=en",731,"2025-05-07 02:45:29","","10.1002/cssc.201901981","","",,,,,65,13.00,33,2,5,"… In addition to high activation energy, these solid products are difficult to reuse in the reaction … Density functional theory (DFT) imitation further illustrates that this effect is owing to the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201901981","https://scholar.google.com/scholar?q=related:fcPklpsyE9gJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"Y Liu, W Yan, W Zhang, W Kong, Z Wang…","2D Sandwich‐Like α‐Zirconium Phosphate/Polypyrrole: Moderate Catalytic Activity and True Sulfur Confinement for High‐Performance Lithium–Sulfur Batteries",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201902227","https://scholar.google.com/scholar?cites=3601363343600579160&as_sdt=2005&sciodt=0,5&hl=en",551,"2025-05-07 02:45:29","","10.1002/cssc.201902227","","",,,,,25,4.17,4,6,6,"… The computations were performed using the MS in the framework of DFT. All the calculations were performed using generalized-gradient approximation (GGA), Perdew-Wang91 (PW91…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201902227","https://scholar.google.com/scholar?q=related:WPJsUuGc-jEJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
90,"J Oh, K Jeong, TW Kim, H Kwon, JW Han…","2‐(N‐Methylbenzyl)pyridine: A Potential Liquid Organic Hydrogen Carrier with Fast H2 Release and Stable Activity in Consecutive Cycles",2018,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201702256","https://scholar.google.com/scholar?cites=5337813916186851811&as_sdt=2005&sciodt=0,5&hl=en",378,"2025-05-07 02:45:29","","10.1002/cssc.201702256","","",,,,,90,12.86,15,6,7,"… To validate the experimental results, we will carry out DFT calculations, as examined for the … [e] 1 and 5 wt % Ru/γ-Al 2 O 3 prepared by H 2 activation of Al 2 O 3 -supported Ru 3 (CO) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201702256","https://scholar.google.com/scholar?q=related:4zl0z3m5E0oJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"EA Saverina, RR Kapaev, PV Stishenko…","2‐Carboxyethylgermanium Sesquioxide as A Promising Anode Material for Li‐Ion Batteries",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202000852","https://scholar.google.com/scholar?cites=2281903398446555406&as_sdt=2005&sciodt=0,5&hl=en",243,"2025-05-07 02:45:29","","10.1002/cssc.202000852","","",,,,,15,3.00,4,4,5,"… activation effect, that is, growth of the specific capacity during the first cycles. This activation … 2-CEGS with Li atoms, we employed density functional theory (DFT) simulations. The RGe (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202000852","https://scholar.google.com/scholar?q=related:DuEpBA3zqh8J:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
43,"P Huang, T Fan, X Ma, J Zhang, Y Zhang…","3D Flower‐Like Zinc Cobaltite for Electrocatalytic Reduction of Nitrate to Ammonia under Ambient Conditions",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202102049","https://scholar.google.com/scholar?cites=2804075482247759739&as_sdt=2005&sciodt=0,5&hl=en",569,"2025-05-07 02:45:29","","10.1002/cssc.202102049","","",,,,,43,14.33,7,6,3,"… Density functional theory (DFT) results implied that the … spectra (XPS), and DFT results revealed that the electron … , which indicates that the activation capability of the intrinsic catalytic …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202102049","https://scholar.google.com/scholar?q=related:e4fCYssT6iYJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
82,"J Wei, Y Feng, P Zhou, Y Liu, J Xu, R Xiang…","A bioinspired molecular polyoxometalate catalyst with two cobalt (II) oxide cores for photocatalytic water oxidation",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201500490","https://scholar.google.com/scholar?cites=11988476333903100395&as_sdt=2005&sciodt=0,5&hl=en",756,"2025-05-07 02:45:29","","10.1002/cssc.201500490","","",,,,,82,8.20,12,7,10,"… DFT calculations further revealed the electronic properties of Co 8 POM. An optimized geometry of Co 8 POM is presented in Figure S11 (Supporting Information), and the calculated …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201500490","https://scholar.google.com/scholar?q=related:67l4QLWfX6YJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
117,"Y Chen, J Jiang","A Bio‐Metal–Organic Framework for Highly Selective CO2 Capture: A Molecular Simulation Study",2010,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201000080","https://scholar.google.com/scholar?cites=18001380071889419647&as_sdt=2005&sciodt=0,5&hl=en",231,"2025-05-07 02:45:29","","10.1002/cssc.201000080","","",,,,,117,7.80,59,2,15,"… compared to numerous zeolites, activated carbons, and MOFs, … cluster were calculated by density functional theory (DFT). It … Consequently, the 6-31G(d) basis set was used in the DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201000080","https://scholar.google.com/scholar?q=related:f73Dy8y_0fkJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"Y Farré, M Raissi, A Fihey, Y Pellegrin, E Blart…","A Blue Diketopyrrolopyrrole Sensitizer with High Efficiency in Nickel‐Oxide‐based Dye‐Sensitized Solar Cells",2017,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201700468","https://scholar.google.com/scholar?cites=11227521008060204518&as_sdt=2005&sciodt=0,5&hl=en",58,"2025-05-07 02:45:29","","10.1002/cssc.201700468","","",,,,,89,11.13,15,6,8,"… and they were modeled by time-dependent DFT (TD-DFT) quantum chemical calculations. The … Similar C−H activation conditions enable to obtain DPP 8 with a yield of 38 %. The lower …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201700468","https://scholar.google.com/scholar?q=related:5gWq8d4q0JsJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
7,"CS Durfy, JA Zurakowski, MW Drover","A Blueprint for Secondary Coordination Sphere Editing: Approaches Toward Lewis‐Acid Assisted Carbon Dioxide Co‐Activation",2024,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202400039","https://scholar.google.com/scholar?cites=10362986927202824607&as_sdt=2005&sciodt=0,5&hl=en",275,"2025-05-07 02:45:29","","10.1002/cssc.202400039","","",,,,,7,7.00,2,3,1,"… [1,3] To effectively activate CO2, we must first develop systems which take advantage of a … us to better understand modes of CO2 activation and subsequent reduction. This topic has …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202400039","https://scholar.google.com/scholar?q=related:n_Hwb7S50I8J:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"X Qu, M Jiang, B Wang, J Deng, R Wang…","A Brønsted acidic ionic liquid as an efficient and selective catalyst system for bioderived high molecular weight poly (ethylene 2, 5‐furandicarboxylate)",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201902020","https://scholar.google.com/scholar?cites=11771952496004831757&as_sdt=2005&sciodt=0,5&hl=en",55,"2025-05-07 02:45:29","","10.1002/cssc.201902020","","",,,,,45,7.50,8,6,6,"… Additionally, on the basis of experimental results and density functional theory calculations, an electrophilic activation mechanism induced by hydrogen bonds is proposed. This strategy …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201902020","https://scholar.google.com/scholar?q=related:DRoktWxgXqMJ:scholar.google.com/&scioq=source:chemsuschem+ch+activation+dft&hl=en&as_sdt=0,5&as_vis=1"
