Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"C Guo, T Zhang, X Lu, CML Wu","Rational Design and Effective Control of Gold‐Based Bimetallic Electrocatalyst for Boosting CO2 Reduction Reaction: A First‐Principles Study",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202100785","https://scholar.google.com/scholar?cites=3084466897016755550&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:48:52","","10.1002/cssc.202100785","","",,,,,12,3.00,3,4,4,"… CO 2 RR mechanism by using density functional theory. The Au monolayer over Pd substrate and single Pd atom on Au(111) were found to show better CO 2 RR … to study their CO 2 RR …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202100785","https://scholar.google.com/scholar?q=related:XpUi9kw6zioJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"J Cho, FM Alamgir, SS Jang","Effect of Interfacial Electric Field on 2D Metal/Graphene Electrocatalysts for CO2 Reduction Reaction",2025,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202401673","https://scholar.google.com/scholar?cites=4161571783595931706&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:48:52","","10.1002/cssc.202401673","","",,,,,1,1.00,0,3,1,"… This field-assisted CO2RR mechanism promotes CO production … fields to tailor the pathways of CO2RR, providing new avenues … spin-polarized density functional theory (DFT) within the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202401673","https://scholar.google.com/scholar?q=related:OjiG_HzfwDkJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"R Takada, H Okada, K Narimatsu, K Miyake…","Metal‐Free N, P‐Codoped Carbon for Syngas Production with Tunable Composition via CO2 Electrolysis: Addressing the Competition Between CO2 Reduction and …",2025,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402249","https://scholar.google.com/scholar?cites=7363970000373032197&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:48:52","","10.1002/cssc.202402249","","",,,,,2,2.00,0,5,1,"… In comparison with only N doping or P doping, N and P co-doping has a positive impact on improving CO2RR activity. Experimental analysis and density functional theory (DFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202402249","https://scholar.google.com/scholar?q=related:BSXeCLMTMmYJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"E Vichou, A Solé‐Daura, C Mellot‐Draznieks…","Electrocatalytic Conversion of CO2 to Formate at Low Overpotential by Electrolyte Engineering in Model Molecular Catalysis",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202201566","https://scholar.google.com/scholar?cites=8762008312130535247&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:48:52","","10.1002/cssc.202201566","","",,,,,17,5.67,4,4,3,"… Density functional theory (DFT) calculations provide insights into the influence of the ILs on … structure of the catalyst and on the reaction mechanisms at play in both CO 2 RR and HER. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202201566","https://scholar.google.com/scholar?q=related:T3-PAyPomHkJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"Y Luo, Z Ma, X Xia, J Zhong, P Wu, Y Huang","TM2−B2 Quadruple Active Sites Supported on a Defective C3N Monolayer as Catalyst for the Electrochemical CO2 Reduction: A Theoretical Perspective",2023,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202202209","https://scholar.google.com/scholar?cites=5465559849948730971&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:48:52","","10.1002/cssc.202202209","","",,,,,10,5.00,2,6,2,"… Developing high-performance electrocatalysts for the CO 2 reduction reaction (CO 2 RR) … , using density functional theory calculations, we systematically investigated the CO 2 RR …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202202209","https://scholar.google.com/scholar?q=related:W9bUyrmR2UsJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
42,"A Bhowmik, T Vegge, HA Hansen","Descriptors and thermodynamic limitations of electrocatalytic carbon dioxide reduction on rutile oxide surfaces",2016,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201600845","https://scholar.google.com/scholar?cites=5487556174320166923&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:48:52","","10.1002/cssc.201600845","","",,,,,42,4.67,14,3,9,"… (CO2RR) based on thermodynamic analysis. We aim to specify the requirements for CO2RR … Here, we first perform detailed DFT calculations to establish free energy diagrams for CO 2 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201600845","https://scholar.google.com/scholar?q=related:C-haJ0S3J0wJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
10,"GD Park, S Sirisomboonchai, K Norinaga","Facile Synthesis and Insight of Atomically Dispersed Ni Catalyst on N‐Doped Carbonized Lignin for Highly Efficient Electrochemical CO2 Reduction to CO",2023,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202300530","https://scholar.google.com/scholar?cites=12553066774753548471&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 02:48:52","","10.1002/cssc.202300530","","",,,,,10,5.00,3,3,2,"… density functional theory (DFT) calculations further revealed the role of the electronic structure of single Ni atom on the CO 2 RR … C site significantly enhances the CO 2 RR kinetics, and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202300530","https://scholar.google.com/scholar?q=related:t5jx_rhzNa4J:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"Y Du, P Wang, Y Fang, M Zhu","Asymmetric Charge Distribution in Atomically Precise Metal Nanoclusters for Boosted CO2 Reduction Catalysis",2025,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402085","",8,"2025-05-07 02:48:52","","10.1002/cssc.202402085","","",,,,,0,0.00,0,4,1,"… All the above testing results confirm that Au44-P with major structural defect exhibits the superior CO2RR performance. Through the DFT calculation, the catalytic site is determined to be …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202402085","https://scholar.google.com/scholar?q=related:otv9GX1BsdgJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"K Ohashi, K Nishimura, K Nagita, T Hashimoto…","Size‐Dependency of Electrochemically Grown Copper Nanoclusters Derived from Single Copper Atoms for the CO Reduction Reaction",,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402576","https://scholar.google.com/scholar?cites=4162810870396608155&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:48:52","","10.1002/cssc.202402576","","",,,,,1,0.00,0,5,,"… CO2RR.[7] They found that all of their investigated catalysts except Ni-NC reversibly formed metal clusters during the CO2RR … , we conducted a density functional theory (DFT) study, as …","https://chemistry-europe.onlinelibrary.wiley.com/doi/am-pdf/10.1002/cssc.202402576","https://scholar.google.com/scholar?q=related:m94fXW5GxTkJ:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"Y Wang, J Wang, S Liu, X Zhang, L Jin, L Feng…","Cerium Dioxide‐Induced Abundant Cu+/Cu0 Sites for Electrocatalytic Reduction of Carbon Dioxide to C2+ Products",2025,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402097","https://scholar.google.com/scholar?cites=6900007246580147899&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:48:52","","10.1002/cssc.202402097","","",,,,,2,2.00,0,7,1,"… The DFT theoretical calculation further demonstrates that … catalysts for CO2RR, leveraging their distinctive properties to … catalytic behaviors during the CO2RR process, resulting in …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202402097","https://scholar.google.com/scholar?q=related:u-YHcAjAwV8J:scholar.google.com/&scioq=source:chemsuschem+co2rr+dft&hl=en&as_sdt=0,5&as_vis=1"
