Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
203,"G Prieto","… dioxide hydrogenation into higher hydrocarbons and oxygenates: thermodynamic and kinetic bounds and progress with heterogeneous and homogeneous catalysis",2017,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201601591","https://scholar.google.com/scholar?cites=16108390468335804363&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:51:39","","10.1002/cssc.201601591","","",,,,,203,25.38,203,1,8,"… important kinetic implications for the FTS catalyzed by cobalt catalysts.17 It exerts an inhibition … On the basis of DFT ab initio simulations and under the assumption of a Pichler–Schulz-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201601591","https://scholar.google.com/scholar?q=related:y59x-Mh_jN8J:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
147,"U Omoruyi, S Page, J Hallett, PW Miller","Homogeneous catalyzed reactions of levulinic acid: to γ‐valerolactone and beyond",2016,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201600517","https://scholar.google.com/scholar?cites=4737674534016600442&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:51:39","","10.1002/cssc.201600517","","",,,,,147,16.33,37,4,9,"… using heterogeneous catalysis, homogeneous catalytic systems that … A range of new homogeneous catalysts have now been … DFT study and a series of NMR-scale experiments on the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201600517","https://scholar.google.com/scholar?q=related:ekl5LeOZv0EJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
28,"GM Lari, OG Gröninger, Q Li, C Mondelli…","Catalyst and process design for the continuous manufacture of rare sugar alcohols by epimerization–hydrogenation of aldoses",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201600755","https://scholar.google.com/scholar?cites=717986446746488138&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:51:39","","10.1002/cssc.201600755","","",,,,,28,3.11,6,5,9,"… tests and density functional theory (DFT) simulations. Finally, we study the overall performance of a continuous process by comparing different arrangements of the catalysts in single …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201600755","https://scholar.google.com/scholar?q=related:So3eh97M9gkJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"A Messori, A Fasolini, R Mazzoni","Advances in Catalytic Routes for the Homogeneous Green Conversion of the Bio‐Based Platform 5‐Hydroxymethylfurfural",2022,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202200228","https://scholar.google.com/scholar?cites=2857252874144634428&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:51:39","","10.1002/cssc.202200228","","",,,,,32,10.67,11,3,3,"… : This Review describes advances in the homogeneously catalyzed conversion of 5-… Mechanistic investigation conducted with NMR spectroscopy and supported by DFT calculations …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202200228","https://scholar.google.com/scholar?q=related:PNbaxFkApycJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
93,"LH Zhang, S Mathew, J Hessels, JNH Reek…","Homogeneous catalysts based on first‐row transition‐metals for electrochemical water oxidation",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202001876","https://scholar.google.com/scholar?cites=6876320025425700948&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:51:39","","10.1002/cssc.202001876","","",,,,,93,23.25,19,5,4,"… implying that the activity stems from a homogeneous complex with an impressive stability of Cu-18. Combining electrochemical insights with DFT calculations revealed that O−O bond …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202001876","https://scholar.google.com/scholar?q=related:VGhnfaGYbV8J:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
72,"RZ Liao, PEM Siegbahn","Quantum chemical modeling of homogeneous water oxidation catalysis",2017,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201701374","https://scholar.google.com/scholar?cites=12126070942331404742&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:51:39","","10.1002/cssc.201701374","","",,,,,72,9.00,36,2,8,"… catalysts are currently more efficient for practical applications. On the other hand, homogeneous catalysts … DFT calculations were performed to elucidate the catalytic mechanism. The …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201701374","https://scholar.google.com/scholar?q=related:xoHZfkZ1SKgJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
679,"DS Su, J Zhang, B Frank, A Thomas…","Metal‐free heterogeneous catalysis for sustainable chemistry",2010,"ChemSusChem …","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.200900180","https://scholar.google.com/scholar?cites=9877272974848420040&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 02:51:39","","10.1002/cssc.200900180","","",,,,,679,45.27,136,5,15,"… catalysis using a K-promoted iron oxide system,1 mankind would be confronted with a serious shortage of food. Homogeneous catalysis is … Density functional theory calculations support …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.200900180","https://scholar.google.com/scholar?q=related:yOhnR3AfE4kJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
84,"RG Harms, IIE Markovits, M Drees…","Cleavage of C O Bonds in Lignin Model Compounds Catalyzed by Methyldioxorhenium in Homogeneous Phase",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201300918","https://scholar.google.com/scholar?cites=5323530044811912519&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 02:51:39","","10.1002/cssc.201300918","","",,,,,84,7.64,21,4,11,"… of lignin-based compounds with molecular catalysts in homogeneous phase. They are … DFT calculations of the proposed mechanism with MDO as catalyst. Free energies (ΔG) are …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201300918","https://scholar.google.com/scholar?q=related:RyUi2F764EkJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
1,"M Melchionna, P Fornasiero","What Is to Be Expected from Heterogeneous Catalysis in the Pipeline to Circular Economy?",2025,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402064","https://scholar.google.com/scholar?cites=12454958470106721464&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:51:39","","10.1002/cssc.202402064","","",,,,,1,1.00,1,2,1,"… A recurrent objective in homogeneous and heterogeneous catalysis is the search for catalytic … Dual photoredox catalysis mechanism and (time-dependent) DFT calculations. Top panel: …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202402064","https://scholar.google.com/scholar?q=related:uCz0Rr3m2KwJ:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
150,"G Yang, EA Pidko, EJM Hensen","The mechanism of glucose isomerization to fructose over Sn‐BEA zeolite: a periodic density functional theory study",2013,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201300342","https://scholar.google.com/scholar?cites=17289357148668225743&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:51:39","","10.1002/cssc.201300342","","",,,,,150,12.50,50,3,12,"… In homogeneously catalyzed glucose isomerization by Brønsted or Lewis acids, the isomerization reaction starts by the formation of a complex between glucose (GP) and the reactive …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201300342","https://scholar.google.com/scholar?q=related:z-g6Sbki8O8J:scholar.google.com/&scioq=source:chemsuschem+homogeneous+catalysis+dft&hl=en&as_sdt=0,5&as_vis=1"
