Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
154,"A Pulido, B Oliver‐Tomas, M Renz, M Boronat…","Ketonic decarboxylation reaction mechanism: a combined experimental and DFT study",2013,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201200419","https://scholar.google.com/scholar?cites=6821902699729354207&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 03:13:55","","10.1002/cssc.201200419","","",,,,,154,12.83,31,5,12,"… -nonanone, can be hydrogenated to nonane and included in … -butyl isobutyl ketone with no evidence of di-tert-butyl ketone.24 … resulting in an asymmetrical ketone. Another argument in …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201200419","https://scholar.google.com/scholar?q=related:332lhVxErF4J:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
38,"MJ Gilkey, AV Mironenko, L Yang, DG Vlachos…","Insights into the ring‐opening of biomass‐derived furanics over carbon‐supported ruthenium",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201600681","https://scholar.google.com/scholar?cites=18137162470881420990&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 03:13:55","","10.1002/cssc.201600681","","",,,,,38,4.22,8,5,9,"… DFT and microkinetic modeling to elucidate the elementary processes of DMF ring-opening and hydrogenation … Neurock for the hydrogenation of C 1 −C 4 aldehydes and ketones on Ru…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201600681","https://scholar.google.com/scholar?q=related:vuZuJiwltPsJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"A Mandal, K Ganguli, M Pradhan, A Gorai…","Selective Transfer Hydrogenation of C=O and Conjugated C=C Bonds Using An NHC‐Based Pincer (CNC)MnI Complex in Methanol**",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202300683","https://scholar.google.com/scholar?cites=9229791771799541952&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 03:13:55","","10.1002/cssc.202300683","","",,,,,15,7.50,3,5,2,"… studies, Hammett studies, and density functional theory (DFT) calculations were carried out … developed for the transfer hydrogenation of aldehydes and ketones using methanol. Although…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202300683","https://scholar.google.com/scholar?q=related:wFjvBLfOFoAJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
76,"P Chakraborty, MK Gangwar…","α‐Alkylation of Ketones with Secondary Alcohols Catalyzed by Well‐Defined Cp*CoIII‐Complexes",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900990","https://scholar.google.com/scholar?cites=14484315696464135187&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 03:13:55","","10.1002/cssc.201900990","","",,,,,76,12.67,25,3,6,"… , followed by hydrogenation to afford C-alkylated ketones as the end … The α-alkylation of ketones with primary alcohols has been well … of mechanistic pathways through DFT calculations. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201900990","https://scholar.google.com/scholar?q=related:EwRcfmKgAskJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
59,"XB Lan, Z Ye, J Liu, M Huang, Y Shao, X Cai…","Sustainable and selective alkylation of deactivated secondary alcohols to ketones by non‐bifunctional pincer N‐heterocyclic carbene manganese",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202000576","https://scholar.google.com/scholar?cites=273078209504871491&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 03:13:55","","10.1002/cssc.202000576","","",,,,,59,11.80,8,7,5,"… the α,β-unsaturated ketone 3 aa**, which undergoes selective 1,4-hydrogenation by metal … the α,β-saturated ketone as the final product. DFT studies suggested that the RDS should the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202000576","https://scholar.google.com/scholar?q=related:QwRwSS8rygMJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
17,"J Kang, A Vonderheide, VV Guliants","Deuterium‐Labeling Study of the Hydrogenation of 2‐Methylfuran and 2, 5‐Dimethylfuran over Carbon‐Supported Noble Metal Catalysts",2015,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201500722","https://scholar.google.com/scholar?cites=10573672951064402806&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 03:13:55","","10.1002/cssc.201500722","","",,,,,17,1.70,6,3,10,"… to valuable chemicals involves hydrogenation of the aromatic … THFs), ketones, and alcohols.5 Although the highly selective … studied the hydrogenation of furan on Pd(1 1 1) by DFT and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201500722","https://scholar.google.com/scholar?q=related:dptZ-4Y7vZIJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"K Murugesan, CB Bheeter, PR Linnebank…","Nickel‐Catalyzed Stereodivergent Synthesis of E‐ and Z‐Alkenes by Hydrogenation of Alkynes",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900784","https://scholar.google.com/scholar?cites=7013949557387744558&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 03:13:55","","10.1002/cssc.201900784","","",,,,,80,13.33,20,4,6,"… hydrogenated to a Z-alkene, which was subsequently isomerized to the E-alkene. This proposal was supported by density functional theory … silyl, boronic ester, ketone, and ester groups (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201900784","https://scholar.google.com/scholar?q=related:LtWaAPaNVmEJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
29,"LM Orozco, M Renz, A Corma","Carbon–carbon bond formation and hydrogen production in the ketonization of aldehydes",2016,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201600654","https://scholar.google.com/scholar?cites=9050858099685717859&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 03:13:55","","10.1002/cssc.201600654","","",,,,,29,3.22,10,3,9,"… studies and density functional theory calculations revealed … ketone product and is consumed for the formation of ketone. … as a nonreducible catalyst, the hydrogenation of benzoic acid to …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201600654","https://scholar.google.com/scholar?q=related:Y_c7-Hwbm30J:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
133,"K Lee, GH Gu, CA Mullen, AA Boateng…","Guaiacol hydrodeoxygenation mechanism on Pt (111): insights from density functional theory and linear free energy relations",2015,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201402940","https://scholar.google.com/scholar?cites=15781809356792210231&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 03:13:55","","10.1002/cssc.201402940","","",,,,,133,13.30,27,5,10,"… will first consider the ring hydrogenation at the C3 position and … to be the most favorable ring hydrogenation step (Figure 3). … ketone groups are preferred because breaking of a ketone …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201402940","https://scholar.google.com/scholar?q=related:NyOJkP4_BNsJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"S Budweg, Z Wei, H Jiao, K Junge, M Beller","Iron–PNP‐Pincer‐Catalyzed Transfer Dehydrogenation of Secondary Alcohols",2019,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900308","https://scholar.google.com/scholar?cites=5466683916790626443&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 03:13:55","","10.1002/cssc.201900308","","",,,,,20,3.33,4,5,6,"… , B3PW91 density functional theory … hydrogenation is not favored kinetically, in agreement with the experiment. Apparently, the C=C bond hydrogenation of the α,β-unsaturated ketone …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201900308","https://scholar.google.com/scholar?q=related:i3il_w6Q3UsJ:scholar.google.com/&scioq=source:chemsuschem+ketone+hydrogenation+dft&hl=en&as_sdt=0,5&as_vis=1"
