Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"T Hosaka, T Fukabori, H Kojima, K Kubota…","Effect of particle size and anion vacancy on electrochemical potassium ion insertion into potassium manganese hexacyanoferrates",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202002628","https://scholar.google.com/scholar?cites=16706870035716243080&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 03:10:54","","10.1002/cssc.202002628","","",,,,,53,13.25,11,5,4,"… To understand the difference in ionic diffusion, we evaluated ionic diffusion paths and migration energies using DFT calculations, which were performed on anion vacancy-free and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202002628","https://scholar.google.com/scholar?q=related:iP5728e52ucJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
102,"R Mei, U Dhawa, RC Samanta, W Ma…","Cobalt‐Catalyzed Oxidative C− H Activation: Strategies and Concepts",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202000024","https://scholar.google.com/scholar?cites=9173330231827186109&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 03:10:54","","10.1002/cssc.202000024","","",,,,,102,20.40,20,5,5,"… Density functional theory (DFT) calculations were indicative of a cobalt(III) pathway (Figure 1… Migratory insertion of the alkyne and the subsequent reductive elimination release the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202000024","https://scholar.google.com/scholar?q=related:vUFpUz43Tn8J:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
32,"J Rehman, X Fan, A Samad, W Zheng","Lithiation and sodiation of hydrogenated silicene: a density functional theory investigation",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202101742","https://scholar.google.com/scholar?cites=16768306795876947755&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 03:10:54","","10.1002/cssc.202101742","","",,,,,32,8.00,8,4,4,"… If we compare the results with the prior DFT outcomes, such as Li x MoN 2 (0.49 eV), Na x MoN 2 (0.56 eV), Li x VN 2 (0.24 eV), Na x CP 3 (0.35 eV), Li x B 3 S (0.32 eV), and Li x Si (…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202101742","https://scholar.google.com/scholar?q=related:K5cDRTD-tOgJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
3,"J Chen, X Liu, P Zhang, S Zhang, H Zhou, L Li…","Aerobic Oxidative Carboxylation of Styrene Over Cobalt Catalysts: Integrated CO2 Capture and Conversion",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202301567","https://scholar.google.com/scholar?cites=12585865623138704310&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 03:10:54","","10.1002/cssc.202301567","","",,,,,3,3.00,0,7,1,"… Density functional theory (DFT) calculations were conducted … Based on the characterization results vide ante, the DFT … The resultant intermediate might undergo migratory insertion …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202301567","https://scholar.google.com/scholar?q=related:tpv7-Rn6qa4J:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
19,"H Tang, F Chao, H Luo, K Yu, J Wang, H Chen…","Mg2+ Ion Pre‐Insertion Boosting Reaction Kinetics and Structural Stability of Ammonium Vanadates for High‐Performance Aqueous Zinc‐Ion Batteries",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202300403","https://scholar.google.com/scholar?cites=9809523657260215963&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 03:10:54","","10.1002/cssc.202300403","","",,,,,19,9.50,3,7,2,"… Mg 2+ ions effectively improve the reaction kinetics and structural stability of NH 4 V 4 O 10 (NHVO), which are confirmed by electrochemical analysis and density functional theory …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202300403","https://scholar.google.com/scholar?q=related:my7JDsttIogJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"K Zhu, Y Yang, D Huan, X Hu, N Shi, Y Xie, X Li…","Theoretical and Experimental Investigations on K‐doped SrCo0.9Nb0.1O3‐δ as a Promising Cathode for Proton‐Conducting Solid Oxide Fuel Cells",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202101100","https://scholar.google.com/scholar?cites=6996124024892217485&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 03:10:54","","10.1002/cssc.202101100","","",,,,,50,12.50,6,8,4,"… and migration ability of SrCo 0.9 Nb 0.1 O 3-δ (SCN). K + -doped SCN (KSCN) demonstrated great potential to be a promising cathode for P-SOFCs. Density functional theory … and DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202101100","https://scholar.google.com/scholar?q=related:jdhGzLs5F2EJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
85,"Z Fan, Z Zhang, C Xi","Light‐Mediated Carboxylation Using Carbon Dioxide",2020,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202001974","https://scholar.google.com/scholar?cites=595469775848654549&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 03:10:54","","10.1002/cssc.202001974","","",,,,,85,17.00,28,3,5,"… DFT calculations reveals that C s18 is stabilized by both the phenyl ring and the amino … Coordination and following migratory insertion of CO 2 to B s32 gives C s32 which lowers the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202001974","https://scholar.google.com/scholar?q=related:1cbwL5uIQwgJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"PK Baroliya, M Dhaker, S Panja…","Transition Metal‐Catalyzed C− H Functionalization Through Electrocatalysis",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202202201","https://scholar.google.com/scholar?cites=6577848220359550387&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 03:10:54","","10.1002/cssc.202202201","","",,,,,20,10.00,5,4,2,"… while by migratory insertion and … DFT calculations divulged that reaction begin with C−H activation to afford a Rh III cyclic intermediate. After ligand exchange, migratory alkyne insertion …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202202201","https://scholar.google.com/scholar?q=related:s2X3ABs2SVsJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Chen, Y Chen, Z Han, Y Huang, Y Wang…","Switchable Regioselective C− H Activation/Annulation of Acrylamides with Alkynes for the Synthesis of 2‐Pyridones",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202400066","",9,"2025-05-07 03:10:54","","10.1002/cssc.202400066","","",,,,,0,0.00,0,6,1,"… density functional theory (DFT) calculations were conducted by using Gaussian [12] package to establish the energy profile of the key alkyne insertion … alkyne migratory insertion (8.7 kcal…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202400066","https://scholar.google.com/scholar?q=related:LtbzR94W_BQJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
192,"D Cheng, FR Negreiros, E Aprà, A Fortunelli","Computational approaches to the chemical conversion of carbon dioxide",2013,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201200872","https://scholar.google.com/scholar?cites=15177376270053138286&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 03:10:54","","10.1002/cssc.201200872","","",,,,,192,16.00,48,4,12,"… methods such as density-functional theory (DFT) can serve as … and catalyst design by using DFT calculations and discuss some of … Section 3 deals with the general issues of DFT-guided …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201200872","https://scholar.google.com/scholar?q=related:bt_17k3foNIJ:scholar.google.com/&scioq=source:chemsuschem+migratory+insertion+dft&hl=en&as_sdt=0,5&as_vis=1"
