Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"J Mai, Y Fan, Y Lin, S Liu","Catalytic Strategies for the Production of Alkane‐Based Lubricant Base Oils from Biomass and Plastic Wastes",,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202500071","",1,"2025-05-07 03:09:47","","10.1002/cssc.202500071","","",,,,,0,0.00,0,4,,"… an alternative method for producing olefins, including α-olefins and internal olefins. In 2018, Hee … Mechanistic studies using ssNMR and DFT calculations revealed that PE adsorption is …","","https://scholar.google.com/scholar?q=related:AzA6vzDUDcwJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
91,"T Tan, W Wang, K Zhang, Z Zhan, W Deng…","Upcycling Plastic Wastes into Value‐Added Products by Heterogeneous Catalysis",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202200522","https://scholar.google.com/scholar?cites=18035708946158014488&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 03:09:47","","10.1002/cssc.202200522","","",,,,,91,30.33,15,6,3,"… Density functional theory (DFT) calculations on the hydrogenolysis of … olefin species underwent cross olefin metathesis, leading to a breakdown of PE chains. The newly formed olefins …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202200522","https://scholar.google.com/scholar?q=related:GFAVsLq1S_oJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
84,"RG Harms, IIE Markovits, M Drees…","Cleavage of C O Bonds in Lignin Model Compounds Catalyzed by Methyldioxorhenium in Homogeneous Phase",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201300918","https://scholar.google.com/scholar?cites=5323530044811912519&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 03:09:47","","10.1002/cssc.201300918","","",,,,,84,7.64,21,4,11,"… the olefin protons were observed (see the SI, Figure S6). The signals were identified as a mixture of isomers of olefin … DFT calculations of the proposed mechanism with MDO as catalyst. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201300918","https://scholar.google.com/scholar?q=related:RyUi2F764EkJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
258,"H Chen, K Wan, Y Zhang, Y Wang","Waste to wealth: chemical recycling and chemical upcycling of waste plastics for a great future",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202100652","https://scholar.google.com/scholar?cites=4823847365894715450&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 03:09:47","","10.1002/cssc.202100652","","",,,,,258,64.50,65,4,4,"… -state (ss)NMR spectroscopy and density functional theory computations suggested that the … 2 O 3 , can be recycled for olefin metathesis and alkane dehydrogenation, respectively, but …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202100652","https://scholar.google.com/scholar?q=related:OrjbFp-_8UIJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
31,"G Walther","High‐Performance Polymers from Nature: Catalytic Routes and Processes for Industry",2014,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201402379","https://scholar.google.com/scholar?cites=8041593417434617936&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 03:09:47","","10.1002/cssc.201402379","","",,,,,31,2.82,31,1,11,"… -functionalized segments from sunflower oil, olefin metathesis would provide a complex mixture of α,… density functional theory (DFT) calculations reflecting the current state of science.20 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201402379","https://scholar.google.com/scholar?q=related:UFhPYpt6mW8J:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
251,"X Chen, Y Wang, L Zhang","Recent progress in the chemical upcycling of plastic wastes",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202100868","https://scholar.google.com/scholar?cites=14500431995343242137&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 03:09:47","","10.1002/cssc.202100868","","",,,,,251,62.75,84,3,4,"… Based on previous density functional theory (DFT) … adopted a dehydrogenation-olefin metathesis protocol to degrade … of the Re-catalyzed olefin metathesis. The linear PE material (a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202100868","https://scholar.google.com/scholar?q=related:mYMkvBLiO8kJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"AV Afanaseva, AA Vinogradov, AA Vinogradov…","The Impact of Ligand Structure and Reaction Temperature on Ethenolysis of Fatty Acid Methyl Esters Catalyzed by Spirocyclic Alkyl Amino Carbene Ru Complexes",2025,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402190","",7,"2025-05-07 03:09:47","","10.1002/cssc.202402190","","",,,,,0,0.00,0,4,1,"… and catalytic properties of Ru4–Ru12, we carried out DFT modeling of the cross- and self-metathesis using ethylene, (Z)-but-2-ene as a model internal olefin, along with LCl2Ru=CH2 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202402190","https://scholar.google.com/scholar?q=related:QvkRy2z330IJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
260,"SB Kalidindi, BR Jagirdar","Nanocatalysis and prospects of green chemistry",2012,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201100377","https://scholar.google.com/scholar?cites=9228429940119431746&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 03:09:47","","10.1002/cssc.201100377","","",,,,,260,20.00,130,2,13,"… surfaces and nanoparticles (without taking into account the support effects) of several metals for the CO oxidation by using a combination of planewave density functional theory (DFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201100377","https://scholar.google.com/scholar?q=related:Qupl3yL4EYAJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
117,"E Schuler, M Demetriou, NR Shiju…","Towards Sustainable Oxalic Acid from CO2 and Biomass",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202101272","https://scholar.google.com/scholar?cites=6330909571059353822&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 03:09:47","","10.1002/cssc.202101272","","",,,,,117,29.25,29,4,4,"… The postulated mechanism was supported with Raman measurements during the sodium formate coupling and density functional theory (DFT) calculations. In the DFT calculations, the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202101272","https://scholar.google.com/scholar?q=related:3ggdWLbo21cJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
23,"JT Christl, P Roesle, F Stempfle, G Müller…","Promotion of selective pathways in isomerizing functionalization of plant oils by rigid framework substituents",2014,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201402441","https://scholar.google.com/scholar?cites=8570037557837779321&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 03:09:47","","10.1002/cssc.201402441","","",,,,,23,2.09,5,5,11,"… DFT calculations of key steps of the catalytic cycle unravel methanolysis as the decisive step for enhanced selectivity and the influence of the rigid adamantyl framework on this step by …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201402441","https://scholar.google.com/scholar?q=related:eVGtusDj7nYJ:scholar.google.com/&scioq=source:chemsuschem+olefin+metathesis+dft&hl=en&as_sdt=0,5&as_vis=1"
