Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"J Zhang","Conversion of lignin models by photoredox catalysis",2018,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201801370","https://scholar.google.com/scholar?cites=17665107060028896511&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:48:03","","10.1002/cssc.201801370","","",,,,,45,6.43,45,1,7,"… Control experiments and DFT calculations indicated that the favorable π–π stacking interactions between the benzene rings and the corrugated C 3 N 4 surface likely contributed to …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201801370","https://scholar.google.com/scholar?q=related:_3REAEcRJ_UJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
40,"M Májek, M Neumeier…","Aromatic chlorosulfonylation by photoredox catalysis",2017,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201601293","https://scholar.google.com/scholar?cites=5035395047529986199&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:48:03","","10.1002/cssc.201601293","","",,,,,40,5.00,13,3,8,"… Visible‐light photoredox catalysis enables the efficient synthesis of arenesulfonyl chlorides from … Theoretical and experimental studies support a photoredox‐catalysis mechanism. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201601293","https://scholar.google.com/scholar?q=related:lzjJ9x1R4UUJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"X Cheng, B Palma, H Zhao, H Zhang, J Wang…","Photoreforming for Lignin upgrading: a critical review",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202300675","https://scholar.google.com/scholar?cites=18152991795972541170&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:48:03","","10.1002/cssc.202300675","","",,,,,14,7.00,2,6,2,"… of an alternative one-step photoredox mechanism that involves the … Compared to two step strategy, no need for one-step photoredox … DFT calculations revealed that C α radical by one …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202300675","https://scholar.google.com/scholar?q=related:8gqGGdxh7PsJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
2,"M Mondal, S Ghosh, D Lai, A Hajra","C− H Functionalization of Heteroarenes via Electron Donor‐Acceptor Complex Photoactivation",2024,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202401114","https://scholar.google.com/scholar?cites=691618081131349115&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:48:03","","10.1002/cssc.202401114","","",,,,,2,2.00,1,4,1,"… They also performed theoretical studies based on DFT energy … The time-dependent density functional theory (TDDFT) … intermediate of the radical chain, based on DFT analysis. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202401114","https://scholar.google.com/scholar?q=related:e0QS_voemQkJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
16,"R Zhu, G Zhou, J Teng, X Li, Y Fu","Metal‐free Photocatalytic Aerobic Oxidative Cleavage of C− C Bonds in 1, 2‐Diols",2020,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202001466","https://scholar.google.com/scholar?cites=11053165830196446970&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:48:03","","10.1002/cssc.202001466","","",,,,,16,3.20,3,5,5,"… experiments and density functional theory (DFT) calculations… catalysts for visible light photoredox catalysis, and the flexible … experiments and density functional theory (DFT) …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202001466","https://scholar.google.com/scholar?q=related:-kZYqMK7ZJkJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"W Zou, H Zhou, M Wang","Photoinduced Biomimetic Room‐Temperature C− O Bond Cleavage over Mn Doped CdS",2023,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202300727","https://scholar.google.com/scholar?cites=4377522766838340485&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:48:03","","10.1002/cssc.202300727","","",,,,,5,2.50,2,3,2,"… Semiconductor-based visible light-mediated photoredox … Herein, taking advantage of the photoredox and introducing a … We further performed density functional theory calculations …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202300727","https://scholar.google.com/scholar?q=related:hZuVacMVwDwJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
27,"S Hansen, MM Pohl, M Klahn, A Spannenberg…","Investigation and enhancement of the stability and performance of water reduction systems based on cyclometalated iridium (III) complexes",2013,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201200617","https://scholar.google.com/scholar?cites=18194770592671986679&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 02:48:03","","10.1002/cssc.201200617","","",,,,,27,2.25,5,5,12,"… A detailed study of the concentration impact of all components in the photoredox system was performed. DFT calculations were used to aid the explanation of the findings. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201200617","https://scholar.google.com/scholar?q=related:9_PvOXTPgPwJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"S Zoltowska, S Mazzanti, S Stolfi, J Xu, M Huš…","Merging Heterogeneous Graphitic Carbon Nitride Photocatalysis with Cobaloxime Catalysis in Uphill Dehydrogenative Synthesis of Anilines",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202402439","",8,"2025-05-07 02:48:03","","10.1002/cssc.202402439","","",,,,,0,0.00,0,6,1,"… as a photoredox catalyst and cobaloxime as H2-evolution catalyst was developed recently by Leonori et al. In this work, we replace the homogeneous photoredox … The results of DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202402439","https://scholar.google.com/scholar?q=related:23DR4hAsPw4J:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
89,"Y Farré, M Raissi, A Fihey, Y Pellegrin, E Blart…","A Blue Diketopyrrolopyrrole Sensitizer with High Efficiency in Nickel‐Oxide‐based Dye‐Sensitized Solar Cells",2017,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201700468","https://scholar.google.com/scholar?cites=11227521008060204518&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:48:03","","10.1002/cssc.201700468","","",,,,,89,11.13,15,6,8,"… into the long wavelengths, and well-suited photoredox properties to act as sensitizers in p-… they were modeled by time-dependent DFT (TD-DFT) quantum chemical calculations. The …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201700468","https://scholar.google.com/scholar?q=related:5gWq8d4q0JsJ:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
84,"JB Peng, X Qi, XF Wu","Visible Light‐Induced Carbonylation Reactions with Organic Dyes as the Photosensitizers",2016,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201600625","https://scholar.google.com/scholar?cites=4435702422523445292&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:48:03","","10.1002/cssc.201600625","","",,,,,84,9.33,28,3,9,"… Interestingly, the possibility to use organic dyes as photoredox catalysts has also been … DFT calculations showed that the Gibbs free energy of the oxidation of a phenyl radical to a …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201600625","https://scholar.google.com/scholar?q=related:LIDZF9rHjj0J:scholar.google.com/&scioq=source:chemsuschem+photoredox+dft&hl=en&as_sdt=0,5&as_vis=1"
