Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
69,"Q Liu, D Mu, B Wu, L Wang, L Gai, F Wu","Density functional theory research into the reduction mechanism for the solvent/additive in a sodium‐ion battery",2017,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201601356","https://scholar.google.com/scholar?cites=16859459700547273050&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 03:23:42","","10.1002/cssc.201601356","","",,,,,69,8.63,12,6,8,"… Furthermore, the reductive decomposition mechanism of FEC has also been calculated by the DFT method. Figure 8 shows the potential energy diagram for the reduction of FEC. In the …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201601356","https://scholar.google.com/scholar?q=related:WkEivEXV-OkJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"Z Yu, W Kong, W Liang, Y Guo, J Cui, Y Hu…","Heterogeneously catalyzed reductive depolymerization of lignin to value‐added chemicals",2025,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202401399","https://scholar.google.com/scholar?cites=12323040885428080055&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 03:23:42","","10.1002/cssc.202401399","","",,,,,4,4.00,1,7,1,"… [106] Furthermore, N-doping carbon (NDC) was applied in the Cobased catalysts to enhance the catalytic activity and stability of Co, which is confirmed by DFT calculation and XANES …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202401399","https://scholar.google.com/scholar?q=related:t02OIGU8BKsJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"Y Wan, JM Lee","Recent Advances in Reductive Upgrading of 5‐Hydroxymethylfurfural via Heterogeneous Thermocatalysis",2022,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202102041","https://scholar.google.com/scholar?cites=13808857100250584303&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 03:23:42","","10.1002/cssc.202102041","","",,,,,20,6.67,10,2,3,"… In this Review, the recent achievements of thermo‐reductive transformation of HMF to various chemicals using heterogeneous catalytic systems are presented, including the catalytic …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202102041","https://scholar.google.com/scholar?q=related:7xSRxl7qor8J:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"DK Lee, SR Kubota, AN Janes, MT Bender…","The impact of 5‐hydroxymethylfurfural (HMF)‐metal interactions on the electrochemical reduction pathways of HMF on various metal electrodes",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202101037","https://scholar.google.com/scholar?cites=13627922663712374707&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 03:23:42","","10.1002/cssc.202101037","","",,,,,41,10.25,8,5,4,"… Hydrogenation and hydrogenolysis are two important reactions for reductive HMF … on the Ag and Ni metal surfaces was examined using DFT calculations with spin-polarized PBE-D3 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202101037","https://scholar.google.com/scholar?q=related:sz8SdXUbIL0J:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
18,"D Ghosh, GR Kumar, S Subramanian…","More Than Just a Reagent: The Rise of Renewable Organohydrides for Catalytic Reduction of Carbon Dioxide",2021,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202002660","https://scholar.google.com/scholar?cites=13236390978756090914&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 03:23:42","","10.1002/cssc.202002660","","",,,,,18,4.50,5,4,4,"… conceptual aspects behind the activation and reductive functionalization of CO 2 chemistry. … Based on DFT study they have proposed a transition state (TS) which explains a concerted …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202002660","https://scholar.google.com/scholar?q=related:IhzxPHcbsbcJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
50,"Q Zhao, M Szostak","Redox‐Neutral Decarbonylative Cross‐Couplings Coming of Age",2019,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900408","https://scholar.google.com/scholar?cites=17607023006547093469&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 03:23:42","","10.1002/cssc.201900408","","",,,,,50,8.33,25,2,6,"… of the reductive elimination step is closely connected to electronic properties of the ligands on Pd, whereby Ar−Pd(PR 3 )−Cl leads to slower reductive elimination … Detailed DFT studies …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201900408","https://scholar.google.com/scholar?q=related:3adecSO2WPQJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
49,"Y Li, SD Karlen, B Demir, H Kim, J Luterbacher…","Mechanistic study of diaryl ether bond cleavage during palladium‐catalyzed lignin hydrogenolysis",2020,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202000753","https://scholar.google.com/scholar?cites=2370115215994965102&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 03:23:42","","10.1002/cssc.202000753","","",,,,,49,9.80,8,6,5,"… It is generally assumed that the reductive cleavage of lignin cannot proceed whenever there … step described in a recent DFT calculation.37 An elimination reaction involving ring-opening …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202000753","https://scholar.google.com/scholar?q=related:bswgRjtX5CAJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"BY Karlinskii, VP Ananikov","Catalytic C− H Functionalization of Unreactive Furan Cores in Bio‐Derived Platform Chemicals",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202002397","https://scholar.google.com/scholar?cites=16625038340915392738&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 03:23:42","","10.1002/cssc.202002397","","",,,,,41,10.25,21,2,4,"… DFT calculations were performed to obtain an insight into the mechanism of the catalytic … leads to complex G, which readily undergoes reductive elimination to form the alkylated product. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202002397","https://scholar.google.com/scholar?q=related:4vCCr0kAuOYJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
14,"J Wang, X Lu, M Guo, R Zhang, J Xiong…","Reductive Amination of Levulinic Acid to Pyrrolidones: Key Step in Biomass Valorization towards Nitrogen‐Containing Chemicals",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202301091","https://scholar.google.com/scholar?cites=5465994460646706227&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 03:23:42","","10.1002/cssc.202301091","","",,,,,14,7.00,2,6,2,"… DFT calculations for the other route indicate that the formation of imine begins with the condensation of LA and aniline, which forms Int_1′ via eliminating a water molecule. Afterwards, …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202301091","https://scholar.google.com/scholar?q=related:M4wZewAd20sJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
0,"C Chen, Y Chen, Z Han, Y Huang, Y Wang…","Switchable Regioselective C− H Activation/Annulation of Acrylamides with Alkynes for the Synthesis of 2‐Pyridones",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202400066","",10,"2025-05-07 03:23:42","","10.1002/cssc.202400066","","",,,,,0,0.00,0,6,1,"… Additionally, mechanistic studies and DFT calculations were performed to shed light on the … Similarly, reductive elimination followed by oxidative addition into the NO bond gave …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202400066","https://scholar.google.com/scholar?q=related:LtbzR94W_BQJ:scholar.google.com/&scioq=source:chemsuschem+reductive+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
