Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"J Sanjosé‐Orduna, ÁL Mudarra…","Sustainable knowledge‐driven approaches in transition‐metal‐catalyzed transformations",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900914","https://scholar.google.com/scholar?cites=4605241029991127572&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 02:47:28","","10.1002/cssc.201900914","","",,,,,10,1.67,3,3,6,"… In this regard, DFT stands out as a powerful a posteriori tool … Indeed, modern DFT methods have reached such a level of … 8a Thus, we decided to study the transmetalation step …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201900914","https://scholar.google.com/scholar?q=related:FNqsMVEa6T8J:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"W Hang, N Liang, Y Liu, C Xi","Cobalt‐Catalyzed Highly Regioselective Three‐Component Arylcarboxylation of Acrylate with Aryl Bromides and Carbon Dioxide",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202101963","https://scholar.google.com/scholar?cites=5451400929914771895&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 02:47:28","","10.1002/cssc.202101963","","",,,,,5,1.25,1,4,4,"… the assistance of LiCl, the transmetalation and reduction of 16 … 18 formed through the transmetalation of the cobalt enolate … the theoretical investigations through DFT calculations. Here, …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202101963","https://scholar.google.com/scholar?q=related:t9nNU0NEp0sJ:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
351,"B Yu, LN He","Upgrading carbon dioxide by incorporation into heterocycles",2015,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201402837","https://scholar.google.com/scholar?cites=2120211500995914771&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 02:47:28","","10.1002/cssc.201402837","","",,,,,351,35.10,176,2,10,"… Generally, stoichiometric amounts of organometallic transmetalation agents such as ZnR 2 … Density functional theory (DFT) calculations40 revealed that the carbonic acid generated in …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201402837","https://scholar.google.com/scholar?q=related:EyyPdSCBbB0J:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
174,"J Hong, M Li, J Zhang, B Sun, F Mo","C− H bond carboxylation with carbon dioxide",2019,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201802012","https://scholar.google.com/scholar?cites=5106919460980551130&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 02:47:28","","10.1002/cssc.201802012","","",,,,,174,29.00,35,5,6,"… DFT calculations show that the use of EC as a solvent can … to CO 2 and then transmetalation with the methylaluminum reagent to … with CO 2 through DFT calculations.132 Based on …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201802012","https://scholar.google.com/scholar?q=related:2m1GMDFs30YJ:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
41,"BY Karlinskii, VP Ananikov","Catalytic C− H Functionalization of Unreactive Furan Cores in Bio‐Derived Platform Chemicals",2021,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202002397","https://scholar.google.com/scholar?cites=16625038340915392738&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 02:47:28","","10.1002/cssc.202002397","","",,,,,41,10.25,21,2,4,"… DFT calculations were performed to obtain an insight into the mechanism of the catalytic cycle (… Transmetalation between ArBnep and the complex C results in the formation of furanyl-…","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202002397","https://scholar.google.com/scholar?q=related:4vCCr0kAuOYJ:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
198,"L Yang, H Wang","Recent advances in carbon dioxide capture, fixation, and activation by using N‐Heterocyclic carbenes",2014,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201301131","https://scholar.google.com/scholar?cites=13661033204860511466&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 02:47:28","","10.1002/cssc.201301131","","",,,,,198,18.00,99,2,11,"… ]Ac) by Raman spectroscopy and DFT calculations. It was shown … was complemented by effective DFT modeling to support this … Finally, transmetalation between copper complex 24 and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201301131","https://scholar.google.com/scholar?q=related:6uSGEFK9lb0J:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
33,"M Marchi, G Gentile, C Rosso, M Melchionna…","The nickel age in synthetic dual photocatalysis: a bright trip toward materials science",2022,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202201094","https://scholar.google.com/scholar?cites=8167813780945085641&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 02:47:28","","10.1002/cssc.202201094","","",,,,,33,11.00,7,5,3,"… supported by density functional theory (DFT) calculations, … of the two-electron transmetalation approach, leading instead to … in stereoconvergent transmetalation reactions forming model …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202201094","https://scholar.google.com/scholar?q=related:yaTF3FvnWXEJ:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
20,"PK Baroliya, M Dhaker, S Panja…","Transition Metal‐Catalyzed C− H Functionalization Through Electrocatalysis",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202202201","https://scholar.google.com/scholar?cites=6577848220359550387&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 02:47:28","","10.1002/cssc.202202201","","",,,,,20,10.00,5,4,2,"… Mechanistic study and DFT calculations divulged that reaction begin with C−H activation to … Then transmetalation under anodic oxidation conditions followed by reductive elimination …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202202201","https://scholar.google.com/scholar?q=related:s2X3ABs2SVsJ:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
4,"JDB Koenig, ME Farahat, GC Welch","Development of Tetrameric N‐Annulated Perylene Diimides Using “Click” Chemistry",2022,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202200492","https://scholar.google.com/scholar?cites=2234936605230457999&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 02:47:28","","10.1002/cssc.202200492","","",,,,,4,1.33,1,3,3,"… it does not use an organometallic transmetalation group (like Suzuki-… 4 , density functional theory (DFT) calculations were performed at the B3LYP-6-31G(d,p) level of theory. The DFT …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202200492","https://scholar.google.com/scholar?q=related:j2RHUgAXBB8J:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
34,"X Xu, J Luo","Transition metal‐catalyzed directing‐group‐assisted C− H activation of phenols",2019,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201901951","https://scholar.google.com/scholar?cites=8385724715465260039&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 02:47:28","","10.1002/cssc.201901951","","",,,,,34,5.67,17,2,6,"… well as a co-oxidant, for the transmetalation–reductive elimination step in the catalytic cycle. … cycle on the basis of competitive experiments and DFT studies. Initially, the phenanthroline …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201901951","https://scholar.google.com/scholar?q=related:BzyFATMUYHQJ:scholar.google.com/&scioq=source:chemsuschem+transmetalation+dft&hl=en&as_sdt=0,5&as_vis=1"
