Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
150,"G Yang, EA Pidko, EJM Hensen","The mechanism of glucose isomerization to fructose over Sn‐BEA zeolite: a periodic density functional theory study",2013,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201300342","https://scholar.google.com/scholar?cites=17289357148668225743&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-05-07 03:16:22","","10.1002/cssc.201300342","","",,,,,150,12.50,50,3,12,"… (beta polymorph A) was studied by periodic DFT calculations. … DFT calculations evidence the preferential adsorption of … H 2 O molecules leads to elimination of the latter from the active …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201300342","https://scholar.google.com/scholar?q=related:z-g6Sbki8O8J:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
154,"A Pulido, B Oliver‐Tomas, M Renz, M Boronat…","Ketonic decarboxylation reaction mechanism: a combined experimental and DFT study",2013,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201200419","https://scholar.google.com/scholar?cites=6821902699729354207&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-05-07 03:16:22","","10.1002/cssc.201200419","","",,,,,154,12.83,31,5,12,"… carbon bond formation and carbon dioxide elimination. DFT results showed that the mechanism … through a reaction occurring at the beta carbon and resulting in an asymmetrical ketone. …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201200419","https://scholar.google.com/scholar?q=related:332lhVxErF4J:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
52,"R Zhao, Z Zhao, S Li, AN Parvulescu, U Müller…","Excellent Performances of Dealuminated H‐Beta Zeolites from Organotemplate‐Free Synthesis in Conversion of Biomass‐derived 2,5‐Dimethylfuran to Renewable p …",2018,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201801504","https://scholar.google.com/scholar?cites=3777963518946297183&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-05-07 03:16:22","","10.1002/cssc.201801504","","",,,,,52,7.43,9,6,7,"… the cycloadduct in both experimental studies and DFT calculations. Using amorphous WO x –… Coke deposits can be eliminated by treatment with oxygen at high temperature.50 Figure 9 …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201801504","https://scholar.google.com/scholar?q=related:X8Ut0c0FbjQJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
25,"V Moha, D Cozzula, M Hölscher, W Leitner…","A DFT Study on the Co‐polymerization of CO2 and Ethylene: Feasibility Analysis for the Direct Synthesis of Polyethylene Esters",2016,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201501615","https://scholar.google.com/scholar?cites=14008378571279494198&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-05-07 03:16:22","","10.1002/cssc.201501615","","",,,,,25,2.78,5,5,9,"… From such a structure, β-hydride elimination is feasible and … transition state for β-hydride elimination is placed at 4.0 kcal mol … Consequently, the propensity for β-hydride elimination may …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201501615","https://scholar.google.com/scholar?q=related:NuxOTBfCZ8IJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
8,"Q Ling, C Wang, T Wang, S Yang, X Li, H Wei…","Beyond small molecular cations: elucidating the alkaline stability of cationic moieties at the membrane scale",2024,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202301656","https://scholar.google.com/scholar?cites=9473428928043270235&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-05-07 03:16:22","","10.1002/cssc.202301656","","",,,,,8,8.00,1,7,1,"… against β-H elimination and nucleophilic substitution owing to the … Furthermore, the density functional theory (DFT) calculation … DFT studies indicate that Hofmann elimination (30.56 kcal …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202301656","https://scholar.google.com/scholar?q=related:W8Dt7GpheIMJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
15,"A Mandal, K Ganguli, M Pradhan, A Gorai…","Selective Transfer Hydrogenation of C=O and Conjugated C=C Bonds Using An NHC‐Based Pincer (CNC)MnI Complex in Methanol**",2023,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202300683","https://scholar.google.com/scholar?cites=9229791771799541952&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-05-07 03:16:22","","10.1002/cssc.202300683","","",,,,,15,7.50,3,5,2,"… studies, Hammett studies, and density functional theory (DFT) calculations were carried out … the optimized reaction conditions which eliminated the formation of other intermediates …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.202300683","https://scholar.google.com/scholar?q=related:wFjvBLfOFoAJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"SYT Lee, M Cokoja, M Drees, Y Li, J Mink…","Transformation of nickelalactones to methyl acrylate: on the way to a catalytic conversion of carbon dioxide",2011,"…","researchgate.net","https://www.researchgate.net/profile/Yang-Li-472/publication/51647365_Transformation_of_Nickelalactones_to_Methyl_Acrylate_On_the_Way_to_a_Catalytic_Conversion_of_Carbon_Dioxide/links/66cce3ed75613475fe7f4aad/Transformation-of-Nickelalactones-to-Methyl-Acrylate-On-the-Way-to-a-Catalytic-Conversion-of-Carbon-Dioxide.pdf","https://scholar.google.com/scholar?cites=16033955645694127571&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-05-07 03:16:22","PDF","","","",,,,,80,5.71,13,6,14,"… by reductive elimination of the iodide and acrylate ligands of species B, prior to the β-H … performed DFT calculations on the possible transition states and the reaction energies. The DFT …","https://www.researchgate.net/profile/Yang-Li-472/publication/51647365_Transformation_of_Nickelalactones_to_Methyl_Acrylate_On_the_Way_to_a_Catalytic_Conversion_of_Carbon_Dioxide/links/66cce3ed75613475fe7f4aad/Transformation-of-Nickelalactones-to-Methyl-Acrylate-On-the-Way-to-a-Catalytic-Conversion-of-Carbon-Dioxide.pdf","https://scholar.google.com/scholar?q=related:0633TbUNhN4J:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
80,"K Murugesan, CB Bheeter, PR Linnebank…","Nickel‐Catalyzed Stereodivergent Synthesis of E‐ and Z‐Alkenes by Hydrogenation of Alkynes",2019,"…","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201900784","https://scholar.google.com/scholar?cites=7013949557387744558&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-05-07 03:16:22","","10.1002/cssc.201900784","","",,,,,80,13.33,20,4,6,"… This proposal was supported by density functional theory calculations. This synthetic … −1 higher compared with that of the β-hydride elimination leading to the E-product, which is in line …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.201900784","https://scholar.google.com/scholar?q=related:LtWaAPaNVmEJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
45,"M Rellán‐Piñeiro, N Lopez","The active molybdenum oxide phase in the methanol oxidation to formaldehyde (Formox process): A DFT study",2015,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.201500315","https://scholar.google.com/scholar?cites=3081079389116300087&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-05-07 03:16:22","","10.1002/cssc.201500315","","",,,,,45,4.50,23,2,10,"… based on the use of density functional theory can be used to … gas-phase density functional theory have been reported. … in α-and β-hydrogen elimination leading to dehydrogenation and …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/cssc.201500315","https://scholar.google.com/scholar?q=related:N_sNUWExwioJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
5,"Y Wei, J Pan, X Yan, Y Mao, Y Zhang","Electron Structure Tuned Oxygen Vacancy‐Rich AuPd/CeO2 for Enhancing 5‐Hydroxymethylfurfural Oxidation",2024,"ChemSusChem","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cssc.202400241","https://scholar.google.com/scholar?cites=108694488763808291&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-05-07 03:16:22","","10.1002/cssc.202400241","","",,,,,5,5.00,1,5,1,"… inducing on the Sn-Beta framework, facilitating the reaction … oxygen and directly affected the elimination of CĀ H and OĀ H … The performance of density functional theory (DFT) in this …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cssc.202400241","https://scholar.google.com/scholar?q=related:IzrPxw8pggEJ:scholar.google.com/&scioq=source:chemsuschem+beta+elimination+dft&hl=en&as_sdt=0,5&as_vis=1"
