ArticleURL,Reaction_Class,Title,Year,Cites,Abstract
https://www.cell.com/chem/fulltext/S2451-9294(18)30486-8,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'Carbonylation', 'HomogeneousCatalysis', 'Transmetalation', 'OlefinMetathesis', 'betaElimination', 'TransitionMetal', 'Photoredox', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']","Photoredox-catalysis-modulated, nickel-catalyzed divergent difunctionalization of ethylene",2019,107,"… insertion again suggested that the transient alkyl Ni intermediate might not undergo migratory insertion … of diarylethane product 2, density functional theory (DFT) method M11-L was …"
https://www.cell.com/chem/fulltext/S2451-9294(18)30580-1,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'Carbonylation', 'HomogeneousCatalysis', 'betaElimination', 'TransitionMetal', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']",Palladium-catalyzed C (sp3)–H bond functionalization of aliphatic amines,2019,230,"… Density functional theory (DFT) studies indicated that the … group, involving 1,2-migratory insertion of the olefin into the … activation is irreversible or that migratory insertion of the alkyne is …"
https://www.cell.com/chem/fulltext/S2451-9294(21)00521-0,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'HomogeneousCatalysis', 'Transmetalation', 'betaElimination', 'TransitionMetal', 'Photoredox', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']",A relay catalysis strategy for enantioselective nickel-catalyzed migratory hydroarylation forming chiral α-aryl alkylboronates,2021,74,"Ligand-controlled reactivity plays an important role in transition-metal catalysis, enabling a vast number of efficient transformations to be discovered and developed. However, a single …"
https://www.cell.com/chem/fulltext/S2451-9294(21)00098-X?uuid=uuid%3A0424b4bc-2dac-4da5-9f80-b705b7b013f2,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'HomogeneousCatalysis', 'Transmetalation', 'betaElimination', 'TransitionMetal', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']",Ligand coordination-and dissociation-induced divergent allylic alkylations using alkynes,2021,24,"… The following migratory insertion of phenylacetylene into C(alkynyl)-Ni(II) bond, activated by … stage for migratory insertion followed by allylic alkylation to form 6a. DFT calculations were …"
https://www.cell.com/chem/fulltext/S2451-9294(22)00432-6,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'TransitionMetal', 'MigratoryInsertion', 'CrossCoupling', 'OlefinMetathesis']",Palladium-catalyzed asymmetric hydrophosphination of internal alkynes: Atroposelective access to phosphine-functionalized olefins,2022,68,… Our density functional theory (DFT) assessment of the structures of 56’ and 3’ revealed … enantio-determining migratory insertion of the PPh 2 group into the alkyne. This insertion is also …
https://www.cell.com/chem/fulltext/S2451-9294(21)00110-8,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'HomogeneousCatalysis', 'betaElimination', 'TransitionMetal', 'MigratoryInsertion', 'CrossCoupling', 'OlefinMetathesis']",Shuttle arylation by Rh (I) catalyzed reversible carbon–carbon bond activation of unstrained alcohols,2021,33,… migratory insertion of ketone substrates into a M‒R species. A shuttle arylation protocol overcoming these challenges would open new research avenues that take advantage of …
https://www.cell.com/chem/fulltext/S2451-9294(20)30316-8,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'betaElimination', 'TransitionMetal', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']","Borane-catalyzed stereoselective C–H insertion, cyclopropanation, and ring-opening reactions",2020,91,Lewis acidic boranes have been shown to be effective metal-free catalysts for highly selective reactions of donor-acceptor diazo compounds to a range of substrates. The reactions of α-…
https://www.cell.com/chem/fulltext/S2451-9294(20)30315-6,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'Transmetalation', 'betaElimination', 'TransitionMetal', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']","Cu-catalyzed regio-and stereodivergent chemoselective sp2/sp3 1, 3-and 1, 4-diborylations of CF3-containing 1, 3-enynes",2020,67,"CF 3 -containing multi-borylated compounds are intriguing molecules that can serve as building blocks and readily transform into various significant molecules. Here, a series of Cu-…"
https://www.cell.com/chem/fulltext/S2451-9294(19)30557-1,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'HomogeneousCatalysis', 'Transmetalation', 'OlefinMetathesis', 'betaElimination', 'TransitionMetal', 'Photoredox', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']",Visible-light-induced nickel-catalyzed cross-coupling with alkylzirconocenes from unactivated alkenes,2020,69,"… a migratory insertion after the oxidative addition. A single diastereomer 144 was obtained from the deuterated substrate S144 (Figure 4A, equation 5), favoring a migratory insertion … DFT …"
https://www.cell.com/chem/fulltext/S2451-9294(20)30236-9,"['MetalCatalyzed', 'CHActivation', 'OxidativeAddition', 'HomogeneousCatalysis', 'Transmetalation', 'betaElimination', 'TransitionMetal', 'Photoredox', 'MigratoryInsertion', 'CrossCoupling', 'ReductiveElimination']","Developments in photoredox/nickel dual-catalyzed 1, 2-difunctionalizations",2020,222,"… Notably, an enantio-determining migratory insertion with the tethered olefin takes place, followed by reductive elimination, to deliver the oxindole with the desired quaternary …"
