doi,n_leaves_parsed,n_xyz_total,elements
10.1002/(SICI)1099-0690(200001)2000:1<91::AID-EJOC91>3.0.CO;2-C,1,3,Al Ar B Be C Ca Cl F H He K Li Mg N Na Ne O P S Si
10.1002/1099-0682(200206)2002:6<1326::AID-EJIC1326>3.0.CO;2-T,1,4,C Cl H N Nb
10.1002/1099-0682(200206)2002:6<1475::AID-EJIC1475>3.0.CO;2-J,1,1,C N Ru
10.1002/1099-0690(200211)2002:22<3844::AID-EJOC3844>3.0.CO;2-C,1,30,C H
10.1002/1521-3765(20000901)6:17<3272::AID-CHEM3272>3.0.CO;2-E,1,15,O Ru
10.1002/1521-3765(20001103)6:21<4021::AID-CHEM4021>3.0.CO;2-N,1,10,Al Ar B Be C Ca Cl Co Cr Cu F Fe Ga Ge H He K Li Mg Mn N Na Ne Ni O P S Sc Si Ti V Zn
10.1002/1521-3765(20010417)7:8<1679::AID-CHEM16790>3.0.CO;2-5,1,40,C H Ir P
10.1002/1521-3765(20010417)7:8<1703::AID-CHEM17030>3.0.CO;2-K,1,31,C H P Pd
10.1002/1521-3765(20011105)7:21<4572::AID-CHEM4572>3.0.CO;2-2,1,17,C H
10.1002/1521-3765(20011119)7:22<4913::AID-CHEM4913>3.0.CO;2-7,1,25,C H O
10.1002/1521-3765(20020517)8:10<2324::AID-CHEM2324>3.0.CO;2-X,1,3,Li
10.1002/1521-3765(20020816)8:16<3620::AID-CHEM3620>3.0.CO;2-P,1,14,C H Pd
10.1002/1521-3765(20021018)8:20<4734::AID-CHEM4734>3.0.CO;2-B,1,8,C H I Si
10.1002/adfm.200700713,1,7,He Li
10.1002/adfm.200901803,1,2,C F H N O S
10.1002/adfm.201302297,1,33,C S
10.1002/adfm.201400394,1,5,C H N O S
10.1002/adfm.201404372,1,5,C H N O P
10.1002/adfm.201501537,1,1,C H
10.1002/adfm.201501815,1,11,C H N O S
10.1002/adfm.201600079,1,10,C Fe H O
10.1002/adfm.201603411,1,1,Cu Fe O
10.1002/adfm.201603520,1,21,C H N O S
10.1002/adfm.201802744,1,1,Al B Be C F H He Li Mg N Na Ne O P S Si
10.1002/adfm.201805893,1,2,C
10.1002/adfm.201807280,1,1,Sn
10.1002/adfm.202002342,1,1,Ag Bi Br C Cs Cu O S
10.1002/adfm.202007706,1,1,Se
10.1002/adfm.202007921,1,2,H
10.1002/adfm.202008533,1,8,V
10.1002/adfm.202009109,1,1,N O P S
10.1002/adfm.202009712,1,3,Fm Sn
10.1002/adfm.202010737,1,4,C H N
10.1002/adfm.202100387,1,1,H
10.1002/adfm.202100704,1,1,B Be H He Li
10.1002/adfm.202100783,1,4,Co Mn Ni
10.1002/adfm.202102158,1,1,H
10.1002/adfm.202102635,1,1,Au Pt
10.1002/adfm.202102896,1,2,C Cu H O Zn
10.1002/adfm.202102917,1,4,B Be C H He Li N
10.1002/adfm.202103601,1,5,Hg
10.1002/adfm.202103732,1,7,H
10.1002/adfm.202105372,1,1,Fe Ni S
10.1002/adfm.202106923,1,1,Ca Mn Na Ni
10.1002/adfm.202106958,1,1,Be H He Li
10.1002/adfm.202108814,1,8,N W
10.1002/adfm.202108991,1,3,Cr Ru
10.1002/adfm.202109421,1,4,Be
10.1002/adfm.202112428,1,3,Ce
10.1002/adfm.202200333,1,1,B Be C H He Li
10.1002/adfm.202202245,1,8,Co Mo Sr
10.1002/adfm.202202878,1,2,C Ni O
10.1002/adfm.202203902,1,2,Fe
10.1002/adfm.202205054,1,1,Bi Mn O
10.1002/adfm.202205214,1,1,Br Cl Mn O Sc Zr
10.1002/adfm.202206151,1,1,Bi Br Cs
10.1002/adfm.202206585,1,1,B C
10.1002/adfm.202208760,1,1,C O Pt
10.1002/adfm.202209708,1,2,C H N
10.1002/adfm.202210374,1,1,F Rb Se
10.1002/adfm.202210846,1,12,B
10.1002/adfm.202211530,1,4,Ni O
10.1002/adfm.202213461,1,4,Li
10.1002/adfm.202213561,1,1,In Ir Ni
10.1002/adfm.202213810,1,1,C Cl H N O
10.1002/adfm.202213935,1,1,H
10.1002/adfm.202214148,1,5,C H O
10.1002/adfm.202214495,1,4,O P W
10.1002/adfm.202214962,1,2,C Cl H In N O P
10.1002/adfm.202214983,1,1,Ne
10.1002/adfm.202215151,1,5,Ar
10.1002/adfm.202300309,1,3,B Re Sn
10.1002/adfm.202300636,1,2,Ni P
10.1002/adfm.202301336,1,4,Co Li Mn Ni
10.1002/adfm.202301929,1,3,K
10.1002/adfm.202303235,1,1,Ag Al Co Cr Cu Fe Mn Ni Pd Rh Ru Sc Ti Y Zn Zr
10.1002/adfm.202303357,1,1,Co Fe
10.1002/adfm.202304397,1,3,Si
10.1002/adfm.202304499,1,2,Cr Si Te
10.1002/adfm.202306115,1,1,B C F H
10.1002/adfm.202306578,1,1,Re
10.1002/adfm.202308420,1,3,C Ca H O
10.1002/adfm.202309367,1,1,C Cu H N
10.1002/adfm.202310248,1,1,Mn Ti
10.1002/adfm.202310475,1,1,C O P
10.1002/adfm.202310566,1,4,C H
10.1002/adfm.202313897,1,3,C H N
10.1002/adfm.202313927,1,1,B Ca Mn Ne P Zn
10.1002/adfm.202314186,1,1,Be H He Li
10.1002/adfm.202314262,1,5,C H N O S
10.1002/adfm.202315276,1,7,C Eu H O
10.1002/adfm.202315734,1,1,Br C H In N O P Re S Zn
10.1002/adfm.202316733,1,1,C Cu Ga N O Pd Se Si
10.1002/adfm.202316788,1,1,H O Zn
10.1002/adfm.202316849,1,1,Sb Sn
10.1002/adfm.202400107,1,4,Co Cr Cu Fe Mn Ni Sc Ti V Y Zn
10.1002/adfm.202400809,1,1,Ir
10.1002/adfm.202401134,1,1,Co Mn Ru
10.1002/adfm.202408982,1,7,He
10.1002/adfm.202410379,1,2,Ir
10.1002/adfm.202413297,1,1,C H O Zr
10.1002/adfm.202417883,1,16,Ca Nd Ne Sn Th Zn Zr
10.1002/adfm.202501485,1,2,Li
10.1002/adfm.202505282,1,1,B Be C Li
10.1002/adma.200602184,1,4,H Li
10.1002/adma.201301492,1,5,Mo S
10.1002/adma.201504601,1,1,B Be C He Li
10.1002/adma.201606814,1,2,C Co N Ni O
