functional,element_class,n_reactions,n_converged,convergence_rate
(no functional listed),main_group_only,164120,19681,0.1199
(no functional listed),4d_TM,44758,10689,0.2388
(no functional listed),3d_TM,36249,6133,0.1692
B3LYP,main_group_only,29968,5071,0.1692
M06-2X,main_group_only,18455,1713,0.0928
(no functional listed),5d_TM,15368,5300,0.3449
M06,main_group_only,13007,3173,0.2439
B3LYP,4d_TM,12280,4053,0.3300
B3LYP-D3,main_group_only,10753,1956,0.1819
B3LYP,3d_TM,9904,2664,0.2690
B3LYP-D3(BJ),main_group_only,9444,1097,0.1162
ωB97X-D,main_group_only,9025,1426,0.1580
B3LYP,no_xyz_data,8666,2439,0.2814
M06,4d_TM,6381,2412,0.3780
M06-L,main_group_only,4951,869,0.1755
PBE0,main_group_only,4747,972,0.2048
M06,no_xyz_data,4726,1597,0.3379
B3LYP,5d_TM,4638,1420,0.3062
B3LYP-D3,no_xyz_data,4408,933,0.2117
M06,3d_TM,4055,1412,0.3482
M06-2X,no_xyz_data,4052,199,0.0491
M06,5d_TM,3837,1629,0.4246
ωB97X-D,no_xyz_data,3807,372,0.0977
BP86,main_group_only,3433,509,0.1483
M06-L,4d_TM,3421,736,0.2151
PBE0,4d_TM,3366,923,0.2742
B3LYP-D3(BJ),no_xyz_data,3350,876,0.2615
B3PW91,main_group_only,2976,327,0.1099
M06-L,no_xyz_data,2885,481,0.1667
B3LYP-D3,4d_TM,2749,821,0.2987
M06-L,3d_TM,2548,774,0.3038
M06-2X,4d_TM,2508,581,0.2317
ωB97X-D,4d_TM,2435,889,0.3651
ωB97X-D,3d_TM,2277,479,0.2104
B3LYP-D3,3d_TM,2079,568,0.2732
BP86,4d_TM,2023,649,0.3208
B3LYP-D3(BJ),4d_TM,1907,627,0.3288
BP86,3d_TM,1876,505,0.2692
PBE,main_group_only,1814,192,0.1058
PBE0,no_xyz_data,1778,341,0.1918
M06-D3,main_group_only,1667,503,0.3017
M06-2X-D3,main_group_only,1665,77,0.0462
B3LYP-D3(BJ),3d_TM,1626,565,0.3475
D3,4d_TM,1395,240,0.1720
PBE0,3d_TM,1380,207,0.1500
B97-D,main_group_only,1328,167,0.1258
B3LYP-D3,5d_TM,1288,290,0.2252
B3PW91,3d_TM,1203,240,0.1995
MN15,main_group_only,1201,322,0.2681
TPSS-D3,main_group_only,1183,101,0.0854
M06-2X,3d_TM,1177,218,0.1852
TPSSh,main_group_only,1137,321,0.2823
CAM-B3LYP,main_group_only,1114,45,0.0404
B3PW91,4d_TM,1108,227,0.2049
BP86,no_xyz_data,1106,166,0.1501
OLYP,main_group_only,1072,72,0.0672
(no functional listed),no_xyz_data,1015,322,0.3172
ωB97X-D,5d_TM,969,92,0.0949
PW6B95-D3,main_group_only,925,27,0.0292
BP86-D3,main_group_only,883,240,0.2718
TPSS,main_group_only,876,178,0.2032
B97-D,4d_TM,833,131,0.1573
B3PW91,5d_TM,828,363,0.4384
B3LYP-D3(BJ),5d_TM,818,247,0.3020
B3PW91,no_xyz_data,801,109,0.1361
PBE,4d_TM,799,201,0.2516
PBE0,5d_TM,797,240,0.3011
M05-2X,main_group_only,796,54,0.0678
M06-2X,5d_TM,783,21,0.0268
(no functional listed),lanthanides,770,82,0.1065
PBE,3d_TM,741,104,0.1404
ωB97M-V,main_group_only,735,51,0.0694
TPSSh,no_xyz_data,726,150,0.2066
PBE0-D3(BJ),main_group_only,719,92,0.1280
M06-L,5d_TM,688,72,0.1047
"B3LYP, M06",4d_TM,685,297,0.4336
PBE,5d_TM,684,96,0.1404
PBE,no_xyz_data,640,37,0.0578
PBE0-D3BJ,main_group_only,634,159,0.2508
TPSSh,3d_TM,633,103,0.1627
B3P86,main_group_only,619,68,0.1099
TPSS,no_xyz_data,572,73,0.1276
PBE0-D3,no_xyz_data,538,46,0.0855
mPW1PW91,main_group_only,532,49,0.0921
MP2,main_group_only,519,66,0.1272
OPBE,3d_TM,504,190,0.3770
BLYP,4d_TM,502,125,0.2490
BP86,5d_TM,489,236,0.4826
BP86-D3,no_xyz_data,486,132,0.2716
BP86-D3,4d_TM,445,56,0.1258
DLPNO-CCSD(T),main_group_only,427,18,0.0422
TPSS,3d_TM,427,179,0.4192
(no functional listed),actinides,426,78,0.1831
ωB97X,main_group_only,422,4,0.0095
B97-D3,main_group_only,408,39,0.0956
PBE0-D3,4d_TM,397,141,0.3552
PBEh-3c,main_group_only,393,59,0.1501
PBE0-D3,main_group_only,390,116,0.2974
OPBE,main_group_only,382,3,0.0079
TPSS,4d_TM,379,145,0.3826
BLYP-D3(BJ),main_group_only,375,9,0.0240
BMK,main_group_only,375,169,0.4507
UWB97XD,no_xyz_data,375,56,0.1493
M06-D3,5d_TM,363,129,0.3554
PBE0-D3(BJ),4d_TM,355,1,0.0028
OLYP,3d_TM,353,73,0.2068
B3PW91-D3,main_group_only,337,77,0.2285
PW6B95,main_group_only,332,29,0.0873
D3,main_group_only,327,26,0.0795
BLYP,main_group_only,325,64,0.1969
B97-D3,4d_TM,315,96,0.3048
TPSSh,4d_TM,312,38,0.1218
BP86-D3-BJDAMP,no_xyz_data,309,0,0.0000
TPSSTPSS,main_group_only,307,60,0.1954
M06-D3,3d_TM,303,137,0.4521
M11-L,4d_TM,303,92,0.3036
MN15,no_xyz_data,300,62,0.2067
BP86-D3BJ,main_group_only,294,14,0.0476
PBE-D3,no_xyz_data,293,0,0.0000
BP86-D3(BJ),main_group_only,291,72,0.2474
B97-D,no_xyz_data,289,20,0.0692
DLPNO-CCSD(T),no_xyz_data,282,33,0.1170
CCSD(T),main_group_only,278,120,0.4317
UM06,main_group_only,278,88,0.3165
M06-D3,no_xyz_data,276,48,0.1739
RB-P86,main_group_only,270,14,0.0519
D3BJ,main_group_only,269,32,0.1190
D3BJ,3d_TM,269,92,0.3420
RPBE1PBE,main_group_only,262,0,0.0000
M11,main_group_only,257,16,0.0623
B97-D,3d_TM,257,150,0.5837
MN15,3d_TM,255,189,0.7412
B3LYP-D,5d_TM,254,42,0.1654
UM06,3d_TM,251,130,0.5179
PBE-D3,main_group_only,249,50,0.2008
B3PW91-D3,no_xyz_data,248,12,0.0484
MPW1K,3d_TM,245,39,0.1592
B97X-D,main_group_only,243,191,0.7860
PBE0-D3BJ,3d_TM,241,0,0.0000
"B3LYP, M11-L",4d_TM,238,20,0.0840
TPSS-D3,no_xyz_data,236,29,0.1229
HSE06,no_xyz_data,234,0,0.0000
BMK,4d_TM,231,121,0.5238
PBE0-D3BJ,no_xyz_data,231,63,0.2727
PBE+MBD@rsSCS,main_group_only,230,0,0.0000
PBE+D3,main_group_only,230,0,0.0000
BB95,3d_TM,228,0,0.0000
B3LYP-D,4d_TM,228,111,0.4868
Grimme’s D3,4d_TM,226,145,0.6416
"BP86, wB97X-D",main_group_only,226,20,0.0885
PBE-D3,4d_TM,226,36,0.1593
M05-2X,4d_TM,224,94,0.4196
ꞷB97X-D,no_xyz_data,222,0,0.0000
HF-LYP,main_group_only,221,42,0.1900
B97-D3,no_xyz_data,214,0,0.0000
UPBE1PBE-D3,main_group_only,213,0,0.0000
BLYP,3d_TM,210,61,0.2905
HF,main_group_only,209,3,0.0144
B3P86,3d_TM,207,11,0.0531
BP86-D3,5d_TM,206,136,0.6602
OLYP,no_xyz_data,202,130,0.6436
BH&HLYP,main_group_only,202,1,0.0050
PWPB95,no_xyz_data,198,109,0.5505
TPSSh-D3bj,no_xyz_data,197,0,0.0000
MN15-L,3d_TM,197,188,0.9543
CCSD(T),4d_TM,196,94,0.4796
B2PLYP,main_group_only,196,10,0.0510
PBE0-D3(BJ),3d_TM,196,45,0.2296
M06-D3,4d_TM,196,65,0.3316
BMK,3d_TM,191,3,0.0157
revM06-L,3d_TM,191,188,0.9843
PW6B95,no_xyz_data,188,25,0.1330
B97-3c,no_xyz_data,186,29,0.1559
B3LYP+D3BJ,4d_TM,182,0,0.0000
MP2,no_xyz_data,181,21,0.1160
UM06-2X,main_group_only,181,57,0.3149
BB1K,4d_TM,178,0,0.0000
MN15-L,5d_TM,174,126,0.7241
M06-2X-D3,no_xyz_data,174,2,0.0115
B97-D3,5d_TM,173,131,0.7572
"BP86, BP86-D3",main_group_only,173,66,0.3815
M11-L,main_group_only,172,32,0.1860
B3LYP-D2,no_xyz_data,168,0,0.0000
B97-1,4d_TM,166,0,0.0000
PBE-D2,5d_TM,165,126,0.7636
"B3LYP, M06-L",no_xyz_data,165,120,0.7273
PWPB95-D4,main_group_only,164,0,0.0000
B3PW91',3d_TM,162,0,0.0000
BLYP,no_xyz_data,162,14,0.0864
TPSSh-D3,3d_TM,160,62,0.3875
M06L-D3,main_group_only,159,17,0.1069
PBE-D3,5d_TM,158,126,0.7975
BP86-D3BJ,3d_TM,158,0,0.0000
CAM-B3LYP,no_xyz_data,158,9,0.0570
"B3LYP, BMK, TPSS, BP86, M06",main_group_only,157,136,0.8662
M06-GD3,main_group_only,157,51,0.3248
MN12SX,3d_TM,157,0,0.0000
MN12L,3d_TM,157,0,0.0000
BLYP-D3,no_xyz_data,154,123,0.7987
M06-L-D3,no_xyz_data,154,123,0.7987
BLYP-D3BJ,5d_TM,152,0,0.0000
B3LYP+D3,main_group_only,152,0,0.0000
"BP, M06",main_group_only,151,0,0.0000
MN15-L,4d_TM,150,77,0.5133
TPSSh-D0,3d_TM,150,62,0.4133
PBE0-D3(BJ),5d_TM,150,0,0.0000
D3,5d_TM,148,111,0.7500
TPSSh-D3BJ,main_group_only,147,11,0.0748
B2PLYP-D3(BJ),main_group_only,147,29,0.1973
BP86-D3,3d_TM,145,11,0.0759
OPBE,no_xyz_data,145,0,0.0000
MN15,4d_TM,144,61,0.4236
ωB97M-V,no_xyz_data,144,21,0.1458
TPSSTPSS-D3,5d_TM,142,126,0.8873
"M06, ωB97X-D, B3LYP, B3PW91, HSE06, PBEh1PBE, TPSSh, TPSS, M06L",no_xyz_data,142,0,0.0000
TPSS,5d_TM,142,2,0.0141
TPSS-D2,main_group_only,141,0,0.0000
DFT-D3,5d_TM,140,0,0.0000
