basis_set,n_reactions,n_converged,convergence_rate
(no basis listed),269323,44419,0.1649
6-31G(d),44477,10482,0.2357
"6-31G(d,p)",31789,6324,0.1989
def2-TZVP,31214,6316,0.2023
LANL2DZ,25964,8093,0.3117
def2-SVP,22948,4721,0.2057
SDD,21956,7126,0.3246
"6-311+G(d,p)",15426,3651,0.2367
def2-TZVPP,14104,2543,0.1803
"6-311++G(d,p)",12008,2178,0.1814
"6-311G(d,p)",8173,1626,0.1989
TZVP,5887,794,0.1349
6-31+G(d),5644,1356,0.2403
"6-31+G(d,p)",5603,727,0.1298
6-311++G**,3702,786,0.2123
cc-pVTZ,3380,565,0.1672
def2-QZVP,3169,511,0.1612
6-311+G**,2946,567,0.1925
TZ2P,2549,136,0.0534
def2-QZVPP,2526,577,0.2284
6-31+G*,2324,317,0.1364
6-311G(d),2226,303,0.1361
BS1,2172,741,0.3412
cc-pVDZ,2111,423,0.2004
"6-311+G(2d,p)",2077,558,0.2687
aug-cc-pVTZ,1940,251,0.1294
6-311+G(d),1808,384,0.2124
BS2,1697,665,0.3919
cc-pVTZ(-f),1659,531,0.3201
SVP,1646,185,0.1124
"6-311+G(2d,2p)",1591,232,0.1458
"6-31++G(d,p)",1565,260,0.1661
6-31+G**,1561,137,0.0878
LACVP,1536,383,0.2493
LANL2TZ(f),1459,443,0.3036
"6-311++G(2d,p)",1400,387,0.2764
ma-TZVP,1287,486,0.3776
"6-311+g(d,p)",1278,0,0.0000
6-31G,1274,379,0.2975
6-311+G*,1177,198,0.1682
"6-311++G(2df,2p)",1102,15,0.0136
"BS1, BS2",1042,365,0.3503
"6-311++G(2df,2pd)",1003,26,0.0259
LACV3P,932,220,0.2361
QZ4P,777,0,0.0000
6-31++G**,735,128,0.1741
LANL2DZ(Pd),702,174,0.2479
def2/J,677,89,0.1315
DGDZVP,644,58,0.0901
def2-TZVPPD,623,180,0.2889
aug-cc-pVDZ,613,165,0.2692
BSII,608,157,0.2582
"6-311++g(d,p)",601,82,0.1364
LANL2TZ,595,303,0.5092
def2-SV(P),583,139,0.2384
DZVP,575,88,0.1530
"6-311++G(2d,2p)",571,131,0.2294
LACVP**,554,137,0.2473
"6-31g(d,p)",532,50,0.0940
BSI,502,162,0.3227
3-21G,488,221,0.4529
TZP,469,69,0.1471
cc-pVTZ-PP,464,243,0.5237
SDD(Fe),460,34,0.0739
cc-pVQZ,453,103,0.2274
"6-311G++(d,p)",449,20,0.0445
6-311++g**,446,243,0.5448
def2-TZVPD,412,105,0.2549
SV(P),400,60,0.1500
"6-311++G(3df,3pd)",385,43,0.1117
6-31G+(d),358,94,0.2626
"SDD-6-311++G(d,p)",349,131,0.3754
BS-II,340,99,0.2912
LANL2DZ(f),339,66,0.1947
def2-TZVP(-f),326,165,0.5061
"SDD for Pt, 6-31G(d,p) for other atoms",319,0,0.0000
"SDD for Pt, 6-31G(d) for other atoms",319,0,0.0000
