doi,functionals,basis_sets,softwares,elements
10.1002/(SICI)1099-0690(199912)1999:12<3291::AID-EJOC3291>3.0.CO;2-#,,6-31G(d),,
10.1002/(SICI)1099-0690(200001)2000:1<91::AID-EJOC91>3.0.CO;2-C,B3LYP,"6-311++g(d,p) | 6-311g(d,p)",,Al Ar B Be C Ca Cl F H He K Li Mg N Na Ne O P S Si
10.1002/(SICI)1521-3773(19990419)38:8<1086::AID-ANIE1086>3.0.CO;2-E,,SV(P) | TZVP | TZVPP,RIMP2,
10.1002/1099-0682(200103)2001:3<733::AID-EJIC733>3.0.CO;2-2,B3LYP | LDA | LSDA,W | W+F | W-H | W-H+,,
10.1002/1099-0682(200206)2002:6<1326::AID-EJIC1326>3.0.CO;2-T,,,,C Cl H N Nb
10.1002/1099-0682(200206)2002:6<1475::AID-EJIC1475>3.0.CO;2-J,B3LYP,,,C N Ru
10.1002/1099-0690(200108)2001:15<2891::AID-EJOC2891>3.0.CO;2-M,B3LYP,3-21G(d) | 6-31G(d),,
10.1002/1099-0690(200108)2001:15<2947::AID-EJOC2947>3.0.CO;2-R,B3LYP,"6-31+G(d,p) | 6-311++G(d,p)",,
10.1002/1099-0690(200205)2002:9<1523::AID-EJOC1523>3.0.CO;2-S,B3LYP,6-31+G(d),IBM-RS6000-G98RevA.7,
10.1002/1099-0690(200208)2002:16<2770::AID-EJOC2770>3.0.CO;2-X,,3-21G | 6-311+G** | 6-31G(d),,
10.1002/1099-0690(200211)2002:22<3844::AID-EJOC3844>3.0.CO;2-C,B3LYP,6-31G(d),,C H
10.1002/1521-3765(20000901)6:17<3272::AID-CHEM3272>3.0.CO;2-E,BP86,,,O Ru
10.1002/1521-3765(20001103)6:21<4021::AID-CHEM4021>3.0.CO;2-N,,,,Al Ar B Be C Ca Cl Co Cr Cu F Fe Ga Ge H He K Li Mg Mn N Na Ne Ni O P S Sc Si Ti V Zn
10.1002/1521-3765(20010202)7:3<591::AID-CHEM591>3.0.CO;2-I,B3LYP,6-311G(d),,
10.1002/1521-3765(20010417)7:8<1679::AID-CHEM16790>3.0.CO;2-5,,,,C H Ir P
10.1002/1521-3765(20010417)7:8<1703::AID-CHEM17030>3.0.CO;2-K,B3LYP | mPW1PW91,LANL2DZ,,C H P Pd
10.1002/1521-3765(20011105)7:21<4572::AID-CHEM4572>3.0.CO;2-2,,,,C H
10.1002/1521-3765(20011119)7:22<4913::AID-CHEM4913>3.0.CO;2-7,,,,C H O
10.1002/1521-3765(20020517)8:10<2324::AID-CHEM2324>3.0.CO;2-X,B3LYP,"6-311+G(d,p) | 6-311G(3d,3p) | 6-311G(d,p) | 6-31G(d)",,Li
10.1002/1521-3765(20020816)8:16<3620::AID-CHEM3620>3.0.CO;2-P,,,,C H Pd
10.1002/1521-3765(20020902)8:17<3962::AID-CHEM3962>3.0.CO;2-X,BP86,,Gaussian 98,
10.1002/1521-3765(20020916)8:18<4299::AID-CHEM4299>3.0.CO;2-B,,D 1 1.0 | D 4 1.0 | P 1 1.0 | P 2 1.0 | P 6 1.0 | S 1 1.0 | S 2 1.0 | S 8 1.0,,
10.1002/1521-3765(20021018)8:20<4734::AID-CHEM4734>3.0.CO;2-B,B3LYP,6-311G(d)+SDD | 6-31G(d)+LANL2DZ | 6-31G(d)+LANL2DZdp | cc-pVDZ+SDB-cc-VTZ,,C H I Si
10.1002/adfm.200600518,B3LYP,6-31G,,
10.1002/adfm.200600855,B3LYP,6-31G | LANL2DZ,Gaussian 03,
10.1002/adfm.200700665,B3LYP,6-31G | LANL2DZ,Gaussian 03 | Molden 3.7,
10.1002/adfm.200700713,B3LYP | PW91,"6-31G(d,p)",,He Li
10.1002/adfm.200901803,B3LYP,"6-31G(d,p)",Gaussian 03,C F H N O S
10.1002/adfm.200902066,,,Jmol,
10.1002/adfm.201000274,GGA,PAW,VASP,
10.1002/adfm.201100324,B3LYP,3-21G(d) | LANL2DZ,Gaussian 03,
10.1002/adfm.201100592,CAM-B3LYP,6-31G(d),,
10.1002/adfm.201101932,Ceperley and Alder,"double ζ for 1s | double ζ for 2s and 2p valence states | double ζ for 5s, 5p and 6p | single ζ for 2p | single ζ for 3d state | single ζ for 5d and 6s",SIESTA,
10.1002/adfm.201102941,B3LYP,6-31G(d),,
10.1002/adfm.201103173,PBE0r,2s2p1d for O | 2s2p2d for Ca | 2s2p2d for Mn | 2s2p2d2f for Pr,CP-PAW,
10.1002/adfm.201202078,,,Autosorb software version 1.54,
10.1002/adfm.201202502,PBE,,VIBRA,
10.1002/adfm.201300536,B3LYP,6-31G(d),,
10.1002/adfm.201301205,B3LYP,61-1G | 8-411G | [Ne](3sp/2d) | [Ne](3sp/3d),CYSTAL,
10.1002/adfm.201301750,B3LYP | ωB97X,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201301757,B3LYP | PBE,STO-3G,NWChem,
10.1002/adfm.201302069,B3LYP,"6-311G(d,p)",Gaussian 03,
10.1002/adfm.201302297,CAM-B3LYP,6-31G(d),Gaussian 09,C S
10.1002/adfm.201302631,,,ATHENA,
10.1002/adfm.201303219,B3LYP,"6-31G(d,p)",Gaussian 03,
10.1002/adfm.201303638,PBE,double numerical plus polarization quality basis,Materials Studio,
10.1002/adfm.201303769,B3LYP,6-31G(d),,
10.1002/adfm.201303953,,,Gaussian 09,
10.1002/adfm.201400083,HSE | PBE | PW91,,Accelrys Materials Studio V.6.1 | CASTEP | GULP V4.0 | VASP,
10.1002/adfm.201400161,PBE,plane wave basis set with a cutoff energy of 520 eV,VASP,
10.1002/adfm.201400394,B3LYP | TDUCAM-B3LYP | ωB97X-D,"6-311G(d,p) | 6-31G(d)",Gaussian,C H N O S
10.1002/adfm.201401868,PBE,double numerical atomic orbital augmented by a polarization function,DMol3,
10.1002/adfm.201401919,,,QuantachromeTM AS1WinTM,
10.1002/adfm.201402092,PBE,plane-wave,VASP,
10.1002/adfm.201402554,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.201403020,B3LYP,6-31G(d),,
10.1002/adfm.201403402,B3LYP,6-31G(d),,
10.1002/adfm.201404210,,,Gaussian,
10.1002/adfm.201404294,HSE06 | LDA | vdW-incorporated optB88,,,
10.1002/adfm.201404372,BP86,6-31+G*,Spartan,C H N O P
10.1002/adfm.201501052,HSE | M06-2X,,,
10.1002/adfm.201501537,B3LYP,"6-311G(d,p)",NWChem,C H
10.1002/adfm.201501815,B3LYP,6-31+G*,Gaussian,C H N O S
10.1002/adfm.201501972,PBE,,VASP,
10.1002/adfm.201502163,B3LYP | M06-2X,"6-311G(d,p) | 6-31G(d,p)",Gaussian,
10.1002/adfm.201503241,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.201503697,B3LYP,"6-311++G(d,p)",,
10.1002/adfm.201503935,B3LYP,"6-31G(d,p) | LANL2DZ",Gaussian 09,
10.1002/adfm.201504836,,,VASP,
10.1002/adfm.201505040,B3LYP,6-31G(d) | ECP52MWB,Gaussian 09,
10.1002/adfm.201505106,B3LYP,"6-31G(d,p)",,
10.1002/adfm.201600079,B3LYP-D3,"6-31G*, LANL2DZ",Q-Chem,C Fe H O
10.1002/adfm.201600243,B3PW | FLAPW | GGA | GGA+U | HSE | LDA,,,
10.1002/adfm.201601292,,,Alloy Theoretic Automated Toolkit (ATAT),
10.1002/adfm.201601448,B3LYP,"6-311G(d,p)",,
10.1002/adfm.201601587,not specified,not specified,not specified,
10.1002/adfm.201602162,B3LYP | ωB97X-D,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201602773,HSE06,,VASP,
10.1002/adfm.201603088,PBE,,VASP,
10.1002/adfm.201603411,,,,Cu Fe O
10.1002/adfm.201603520,B3LYP | BMK | M06-2X | M06-HF | MPWLYP1M | TPSSh,6-31G(d),Gaussian 09,C H N O S
10.1002/adfm.201604608,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.201604638,HSE06,,,
10.1002/adfm.201604676,PBE,plane-wave pseudo-potentials,VASP,
10.1002/adfm.201605380,Perdew-Burke-Ernzerhof (PBE),plane-wave,VASP,
10.1002/adfm.201605413,,,AFORS-HET v2.4,
10.1002/adfm.201605647,PBE,Trouiller-Martins norm-conserving pseudo-potential,Quantum ESPRESSO,
10.1002/adfm.201605717,PBE,double-zeta basis plus polarization orbitals (DZP) | single-zeta basis plus polarization orbitals (SZP),SIESTA,
10.1002/adfm.201606190,PBE,,Quantum ESPRESSO,
10.1002/adfm.201606717,PBE,,VASP | WIEN2k,
10.1002/adfm.201700749,,,VASP,
10.1002/adfm.201700802,B3LYP,LANL2DZ,Gaussian 09,
10.1002/adfm.201700881,B3LYP,6-31G++ | LACVP,Jaguar,
10.1002/adfm.201701942,B3LYP,"6-31G(d,p)",,
10.1002/adfm.201702073,CAM-B3LYP | CAM-B3LYP-D3,6-311G(d) | 6-31G(d),,
10.1002/adfm.201702300,PBE,plane wave basis set cut-off energy of 400 eV,Materials Studio,
10.1002/adfm.201703146,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201703283,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.201703929,"B3LYP, LRC-ωPBE",cc-pVTZ,Gaussian 09,
10.1002/adfm.201704169,,PAW,VASP,
10.1002/adfm.201704195,PBE,DNP(3.5),DMol3,
10.1002/adfm.201704202,,,XRF-FP v5.2.7,
10.1002/adfm.201704638,PBE,PAW,VASP,
10.1002/adfm.201704855,"PBE, HSE06",plane-wave basis,Quantum ESPRESSO,
10.1002/adfm.201705274,,PAW,VASP,
10.1002/adfm.201705927,CAM-B3LYP,"6-31G(d,p)",Thermo Scientific LTQ Orbitrap XL,
10.1002/adfm.201705967,PBE,norm-conserving pseudopotentials,CASTEP,
10.1002/adfm.201706294,PBE,plane-wave,VASP,
10.1002/adfm.201706325,ωB97X-D,6-31G(d),Gaussian,
10.1002/adfm.201706945,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201706950,PBE,PAW pseudopotential,VASP,
10.1002/adfm.201707319,PBE,,,
10.1002/adfm.201800116,B3LYP,"6-31g(d,p)",GAMESS,
10.1002/adfm.201800560,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201800886,PBE,double numerical basis with polarization functions (DNP),DMol3,
10.1002/adfm.201801111,,,GROMACS 5.0,
10.1002/adfm.201801136,PBE,,VASP,
10.1002/adfm.201801466,B3LYP+D3,"6-311G(d,p) | 6-31G(d)",Q-Chem,
10.1002/adfm.201801585,PBE,"double-ζ polarized basis sets, finite-range numerical pseudoatomic orbitals",SIESTA,
10.1002/adfm.201801734,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201801874,B3LYP,3-21G(d) | 6-31G(d),Gaussian 09,
10.1002/adfm.201801946,BLOC,def2-SV(P) | def2-TZVP,Turbomole,
10.1002/adfm.201802021,,,SHELXTL,
10.1002/adfm.201802031,PBE0,6-31G(d) | DZP,ADF2017 | Gaussian 09,
10.1002/adfm.201802084,,,JEMS,
10.1002/adfm.201802088,BLYP | M06-L | M11-L | MGGA-MS2 | PBE | PBEsol | PW91 | revTPSS,Double Numerical plus polarization (DNP),DMol3,
10.1002/adfm.201802167,,,IFEFFIT,
10.1002/adfm.201802339,PBE,PAW potentials,VASP,
10.1002/adfm.201802744,,,,Al B Be C F H He Li Mg N Na Ne O P S Si
10.1002/adfm.201802895,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201803193,B3LYP,6-31G,Gaussian 09,
10.1002/adfm.201803330,PBE,,VASP,
10.1002/adfm.201803409,PBE,plane-wave,VASP,
10.1002/adfm.201804073,,,Bruker SHELXTL,
10.1002/adfm.201804190,B3LYP,"6-311G(d,p)",,
10.1002/adfm.201804286,PBE,,CASTEP,
10.1002/adfm.201804354,,,Pymatgen,
10.1002/adfm.201804762,PBE,,,
10.1002/adfm.201805075,PBE,projector augmented-wave potential,VASP,
10.1002/adfm.201805641,PBE,PAW,VASP,
10.1002/adfm.201805893,PBE,plane-wave,VASP,C
10.1002/adfm.201806878,HSE,,,
10.1002/adfm.201806884,PBE,plane-wave pseudopotential,CASTEP,
10.1002/adfm.201807280,,,,Sn
10.1002/adfm.201807651,revised Perdew-Burke-Ernzerhof,projector-augmented plane wave pseudopotentials,VASP,
10.1002/adfm.201808079,PBE,plane-wave,VASP,
10.1002/adfm.201808107,PBE,PAW,VASP,
10.1002/adfm.201808119,PBE,tier 2,FHI-aims,
10.1002/adfm.201808380,PBE | PBE+U,,,
10.1002/adfm.201808994,PBE,plane-wave,CASTEP,
10.1002/adfm.201809051,PBE,,VASP,
10.1002/adfm.201900233,Grimme D2 | HSE06,,"home written code, EoSFit7c",
10.1002/adfm.201901026,PBE,projector augmented wave potentials,VASP,
10.1002/adfm.201901106,PBE,PAW pseudopotential,VASP,
10.1002/adfm.201901110,PBE | RPBE | revPBE,,,
10.1002/adfm.201901154,PBE,plane-wave,VASP,
10.1002/adfm.201901460,"GGA-PBE, DFT+U",plane waves up to a maximal kinetic energy of 90 Ry for KS orbitals and 500 Ry for charge density,Quantum ESPRESSO,
10.1002/adfm.201901510,RPBE,plane-wave,VASP,
10.1002/adfm.201901783,PBE,520 eV kinetic energy cutoff,Not specified,
10.1002/adfm.201901942,PBE,,VASP,
10.1002/adfm.201901949,PBE,PAW,VASP,
10.1002/adfm.201902041,PBE,,VASP,
10.1002/adfm.201902059,D3,PAW,VASP,
10.1002/adfm.201902155,B3LYP,"6-31G(d,p)",,
10.1002/adfm.201902223,M06-2X,cc-pVTZ,,
10.1002/adfm.201902951,LDA,,,
10.1002/adfm.201903229,RPBE,,VASP,
10.1002/adfm.201903443,PBE,plane-wave,VASP,
10.1002/adfm.201903842,PBE,,VASP,
10.1002/adfm.201904020,Perdew-Burke-Ernzerhof (PBE),Projector augmented wave (PAW),VASP,
10.1002/adfm.201904242,TPSS,6-31G(d) | LANL2DZ,Gaussian 09,
10.1002/adfm.201904256,PBE,,VASP,
10.1002/adfm.201904300,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.201904780,PBE,PAW,VASP,
10.1002/adfm.201904782,PBE,,,
10.1002/adfm.201904843,,,VASP,
10.1002/adfm.201905005,PBE+U,plane-wave,VASP,
10.1002/adfm.201905044,PBE,,VASP,
10.1002/adfm.201905252,PBE,PAW,VASP,
10.1002/adfm.201905423,,,Athena and Artemis,
10.1002/adfm.201905810,B3LYP,DZVP,,
10.1002/adfm.201905990,,,MestReNova 11.0.4,
10.1002/adfm.201906069,PBE,PAW potentials,VASP,
10.1002/adfm.201906142,PBE,,VASP,
10.1002/adfm.201906157,PBE,projector augmented wave method,VASP,
10.1002/adfm.201906174,PBE,,VASP,
10.1002/adfm.201906316,PBE,PAW,VASP,
10.1002/adfm.201906661,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.201907376,,,VASP,
10.1002/adfm.201907452,B3LYP,"6-31+g(d,p)",Gaussian 16,
10.1002/adfm.201907684,PBE,plane-wave pseudopotential,CASTEP,
10.1002/adfm.201907791,GGA-RPBE,,VASP,
10.1002/adfm.201908223,PBE,PAW potential,VASP,
